UNIPROT NAME	USER ID
Peroxisome membrane	[MISSING]
Peroxisome matrix	[MISSING]
Golgi apparatus	[MISSING]
Plastid	[MISSING]
Peroxisome	[MISSING]
Endoplasmic reticulum	[MISSING]
Vacuole	[MISSING]
Membrane	[MISSING]
Endoplasmic reticulum lumen	[MISSING]
Mitochondrion membrane	[MISSING]
Endoplasmic reticulum membrane	[MISSING]
Microsome membrane	[MISSING]
Secreted	[MISSING]
Vacuole membrane	[MISSING]
Isoform 1	[MISSING]
Nucleus	[MISSING]
Mitochondrion matrix	[MISSING]
Phosphatidylserine decarboxylase 1 beta chain	[MISSING]
Mitochondrion outer membrane	[MISSING]
Endosome membrane	[MISSING]
Mitochondrion inner membrane	[MISSING]
Glyoxysome	[MISSING]
Cytoplasm	[MISSING]
Isoform Short	[MISSING]
Cell membrane	[MISSING]
Golgi apparatus membrane	[MISSING]
Mitochondrion	[MISSING]
