SBML ID	UNIPROT GENE
ARTHMP043	[MISSING]
ARTHMP086	[MISSING]
ARTHCP078	[MISSING]
ARTHCP079	[MISSING]
ARTHCP030	[MISSING]
ARTHCP071	[MISSING]
ARTHCP074	[MISSING]
ARTHCP029	[MISSING]
ARTHCP010	[MISSING]
ARTHCP077	[MISSING]
NF	[MISSING]
ARTHMP058	[MISSING]
ARTHCP076	[MISSING]
ARTHMP051	[MISSING]
ARTHMP035	[MISSING]
ARTHMP006	[MISSING]
ARTHMP098	[MISSING]
ARTHMP094	[MISSING]
AT5G57590	[MISSING]
ARTHCP027	[MISSING]
ARTHCP026	[MISSING]
ARTHCP025	[MISSING]
ARTHMP024	[MISSING]
ARTHCP007	[MISSING]
ARTHCP028	[MISSING]
ARTHCP068	[MISSING]
ARTHMP007	[MISSING]
ARTHCP080	[MISSING]
AT3G06810	[MISSING]
ARTHCP009	[MISSING]
ARTHMP026	[MISSING]
ARTHCP008	[MISSING]
