UNIPROT NAME	USER ID
Plastid	Plastid
Mitochondrion	Mitochondrion
Golgi apparatus	Golgi_apparatus
Cytoplasm	Cytoplasm
Mitochondrion membrane	Mitochondrion_membrane
Secreted	Secreted
Cell membrane	Cell_membrane
Membrane	Membrane
Peroxisome	Peroxisome
Vacuole membrane	Vacuole_membrane
Mitochondrion inner membrane	Mitochondrion_inner_membrane
Endoplasmic reticulum membrane	Endoplasmic_reticulum_membrane
Vacuole	Vacuole
Nucleus	Nucleus
Isoform 1	Isoform_1
Mitochondrion matrix	Mitochondrion_matrix
Mitochondrion outer membrane	Mitochondrion_outer_membrane
Glyoxysome	Glyoxysome
Endosome membrane	Endosome_membrane
Microsome membrane	Microsome_membrane
Golgi apparatus membrane	Golgi_apparatus_membrane
Peroxisome membrane	Peroxisome_membrane
Endoplasmic reticulum	Endoplasmic_reticulum
