SBML ID	UNIPROT GENE
ARTHMP006	average_protein_Cytoplasm
AT5G57590	average_protein_Cytoplasm
ARTHCP074	average_protein_Cytoplasm
ARTHMP058	average_protein_Cytoplasm
ARTHCP010	average_protein_Cytoplasm
ARTHMP086	average_protein_Cytoplasm
ARTHMP098	average_protein_Cytoplasm
ARTHCP009	average_protein_Cytoplasm
ARTHCP029	average_protein_Cytoplasm
ARTHMP094	average_protein_Cytoplasm
ARTHCP008	average_protein_Cytoplasm
ARTHCP078	average_protein_Cytoplasm
ARTHMP026	average_protein_Cytoplasm
ARTHMP035	average_protein_Cytoplasm
AT3G06810	average_protein_Cytoplasm
ARTHCP080	average_protein_Cytoplasm
ARTHCP027	average_protein_Cytoplasm
ARTHMP024	average_protein_Cytoplasm
ARTHMP007	average_protein_Cytoplasm
ARTHCP026	average_protein_Cytoplasm
ARTHCP068	average_protein_Cytoplasm
ARTHCP025	average_protein_Cytoplasm
ARTHCP030	average_protein_Cytoplasm
ARTHCP007	average_protein_Cytoplasm
ARTHMP043	average_protein_Cytoplasm
ARTHCP077	average_protein_Cytoplasm
ARTHCP079	average_protein_Cytoplasm
ARTHCP076	average_protein_Cytoplasm
ARTHCP071	average_protein_Cytoplasm
ARTHMP051	average_protein_Cytoplasm
ARTHCP028	average_protein_Cytoplasm
NF	average_protein_Cytoplasm
