SBML ID	UNIPROT GENE
AT5G17310 OR AT3G03250	average_protein_Cytoplasm
4*AT1G53310 OR AT2G42600 OR AT3G14940 OR AT1G68750	average_protein_Cytoplasm
ATMG01275 OR ATMG01120 OR ATMG00516 AND ATMG00285 OR ATMG01320 AND ATMG00990 AND ATMG00580 OR ATMG00650 AND ATMG00513 OR ATMG00665 OR ATMG00060 AND ATMG00270 AND ATMG00510 AND ATMG00070 AND AT5G37510 AND AT5G11770 AT1G79010 OR AT1G16700 AND AT5G08530 AND AT4G02580	average_protein_Cytoplasm
2*AT2G21790 AND 2*AT3G23580 OR AT3G27060	average_protein_Cytoplasm
AT2G22250 OR AT4G31990	average_protein_Cytoplasm
AT3G19480 OR AT4G34200 OR AT1G17745	average_protein_Cytoplasm
6*AT4G09320 OR AT5G63310	average_protein_Cytoplasm
AT2G21550 OR AT2G16370	average_protein_Cytoplasm
AT3G54640 AND AT4G27070 OR AT5G54810	average_protein_Cytoplasm
2*AT3G55800	average_protein_Cytoplasm
AT1G22210 OR AT1G35910 OR AT2G22190 OR AT4G12430 OR AT4G22590 OR AT4G39770 OR AT5G65140	average_protein_Cytoplasm
2*AT3G55440 OR AT2G21170	average_protein_Cytoplasm
2*AT4G33010 OR AT2G26080	average_protein_Cytoplasm
2*AT2G35840 OR AT3G52340	average_protein_Cytoplasm
AT1G02500 OR AT2G36880	average_protein_Cytoplasm
AT2G44350 OR AT3G60100	average_protein_Cytoplasm
AT3G66658 OR AT3G24503 OR AT4G36250 OR AT1G44170 OR AT1G54100	average_protein_Cytoplasm
AT3G14420 OR AT3G14415 OR AT3G14150 OR AT4G18360	average_protein_Cytoplasm
8*AT5G37600 OR AT3G17820 OR AT5G16570 OR AT1G66200	average_protein_Cytoplasm
4*AT4G37930 OR AT5G26780	average_protein_Cytoplasm
AT3G23810 OR AT4G13940	average_protein_Cytoplasm
AT3G09820 OR AT5G03300	average_protein_Cytoplasm
AT3G14390 OR AT5G11880	average_protein_Cytoplasm
AT2G39800 OR AT3G55610	average_protein_Cytoplasm
AT1G65930 OR AT5G14590 OR AT1G54340	average_protein_Cytoplasm
3*AT3G52200 OR AT3G13930 OR AT1G54220	average_protein_Cytoplasm
AT5G52100 OR AT3G59890 OR AT2G44040	average_protein_Cytoplasm
AT5G08300 OR AT5G23250 AND AT2G20420	average_protein_Cytoplasm
AT3G55610 OR AT2G39800	average_protein_Cytoplasm
2*AT4G29840 OR AT1G72810	average_protein_Cytoplasm
2*AT3G61440 OR AT3G03630 OR AT4G14880 OR AT2G43750	average_protein_Cytoplasm
AT1G53240 OR AT3G47520 OR AT2G22780 OR AT1G04410 OR AT5G09660	average_protein_Cytoplasm
AT3G12780 OR AT1G56190	average_protein_Cytoplasm
AT3G12780 OR AT1G79550	average_protein_Cytoplasm
2*AT2G44160 OR AT3G59970	average_protein_Cytoplasm
AT1G80560 OR AT5G14200 OR AT1G31180	average_protein_Cytoplasm
AT3G27740 AND AT1G29900	average_protein_Cytoplasm
2*ATCG00020 AND ATCG00680 AND ATCG00280 AND ATCG00270 AND ATCG00580 AND ATCG00570 AND ATCG00710 AND ATCG00080 AND ATCG00550 AND ATCG00070 AND ATCG00560 AND ATCG00220 AND ATCG00700 AND AT5G66570 OR AT3G50820 AND AT1G06680 AND AT4G21280 OR AT4G05180 AND AT1G79040 AND AT1G44575 AND ATCG00690 AND AT3G21055 AND AT2G30570 AND AT2G06520 AND AT1G67740 AND ATCG00300	average_protein_Cytoplasm
AT2G47510 OR AT5G50950	average_protein_Cytoplasm
AT5G24300 OR AT3G01180 OR AT1G11720 OR AT4G18240	average_protein_Cytoplasm
2*AT3G48560	average_protein_Cytoplasm
4*AT1G31230 AT4G19710	average_protein_Cytoplasm
AT1G72330 OR AT1G17290	average_protein_Cytoplasm
2*AT1G14810	average_protein_Cytoplasm
AT5G65690 OR AT4G37870	average_protein_Cytoplasm
AT2G45440 OR AT3G60880	average_protein_Cytoplasm
4*AT3G22960 AND 4*AT5G52920 OR AT1G32440	average_protein_Cytoplasm
AT2G43090 OR AT2G43100 OR AT3G58990 AND AT4G13430	average_protein_Cytoplasm
AT5G61580 OR AT2G22480	average_protein_Cytoplasm
AT3G22425 OR AT4G14910	average_protein_Cytoplasm
4*AT2G19900 OR AT5G11670 OR AT5G25880	average_protein_Cytoplasm
AT4G35260 OR AT2G17130 OR AT4G35650 AND AT5G03290 OR AT3G09810	average_protein_Cytoplasm
AT5G66760 OR AT2G18450 AND AT3G27380 OR AT5G40650 OR AT5G65165 AND AT5G09600 OR AT4G32210 AND AT2G46505 AND AT1G47420 AND AT1G08480 AND AT3G47833 OR AT5G62575 AND AT2G46390	average_protein_Cytoplasm
2*AT1G74030 OR AT2G36530	average_protein_Cytoplasm
AT2G16570 OR AT4G34740 OR AT4G38880	average_protein_Cytoplasm
AT5G48220 OR AT2G04400	average_protein_Cytoplasm
AT5G11520 OR AT2G30970	average_protein_Cytoplasm
AT5G43330 OR AT5G56720 OR AT2G22780 OR AT5G09660	average_protein_Cytoplasm
4*AT1G20620 OR AT1G20630 OR AT4G35090	average_protein_Cytoplasm
AT1G20950 OR AT1G76550 OR AT1G12000 OR AT4G04040	average_protein_Cytoplasm
6*AT1G55920 OR AT3G13110	average_protein_Cytoplasm
AT1G22170 OR AT1G78050 OR AT1G09780	average_protein_Cytoplasm
2*AT2G38280	average_protein_Cytoplasm
AT1G13700 OR AT3G49360 OR AT5G24420 OR AT5G24410 OR AT5G24400	average_protein_Cytoplasm
AT5G36700 OR AT5G36790 OR AT5G47760	average_protein_Cytoplasm
6*AT3G57560	average_protein_Cytoplasm
2*AT3G61440 OR AT3G03630 OR AT2G43750 OR AT5G28020	average_protein_Cytoplasm
2*ATCG00540 AND ATCG00720 AND AT4G03280 AND ATCG00730 AND ATCG00600 AND ATCG00590 AND AT2G26500 AND ATCG00210	average_protein_Cytoplasm
2*AT1G48030 OR AT3G17240	average_protein_Cytoplasm
AT2G46860 OR AT1G01050 OR AT3G53620 OR AT2G18230	average_protein_Cytoplasm
4*AT3G10050	average_protein_Cytoplasm
8*AT3G17820 OR AT1G48470 OR AT5G35630	average_protein_Cytoplasm
4*AT3G54050	average_protein_Cytoplasm
4*AT1G43670	average_protein_Cytoplasm
AT4G35630 OR AT2G17630	average_protein_Cytoplasm
4*AT2G01140 OR AT4G26530 OR AT3G52930 OR AT4G38970 OR AT5G03690 OR AT2G21330	average_protein_Cytoplasm
AT1G08250 OR AT3G07630 OR AT1G11790 OR AT2G27820 OR AT3G44720 OR AT5G22630	average_protein_Cytoplasm
AT5G16390 OR AT5G15530 AND AT5G35360 AND 2*AT2G38040 AND 2*ATCG00500	average_protein_Cytoplasm
AT4G35830 OR AT2G05710 OR AT4G26970	average_protein_Cytoplasm
4*AT1G79440	average_protein_Cytoplasm
