ID	NAME	SBML ID	CONCENTRATION
MET	Methionine	[MISSING]	0
ALATRNA	Charged trna ala	M_alatrna_c	0
CYSTRNA	Charged trna cys	M_cystrna_c	0
ASPTRNA	Charged trna asp	M_asptrna_c	0
GLUTRNA	Charged trna glu	M_glutrna_c	0
PHETRNA	Charged trna phe	M_phetrna_c	0
GLYTRNA	Charged trna gly	M_glytrna_c	0
HISTRNA	Charged trna his	M_histrna_c	0
ILETRNA	Charged trna ile	M_iletrna_c	0
LYSTRNA	Charged trna lys	M_lystrna_c	0
LEUTRNA	Charged trna leu	M_leutrna_c	0
METTRNA	Charged trna met	M_mettrna_c	0
ASNTRNA	Charged trna asn	M_asntrna_c	0
PROTRNA	Charged trna pro	M_protrna_c	0
GLNTRNA	Charged trna gln	M_glntrna_c	0
ARGTRNA	Charged trna arg	M_argtrna_c	0
SERTRNA	Charged trna ser	M_sertrna_c	0
THRTRNA	Charged trna thr	M_thrtrna_c	0
VALTRNA	Charged trna val	M_valtrna_c	0
TRPTRNA	Charged trna trp	M_trptrna_c	0
TYRTRNA	Charged trna tyr	M_tyrtrna_c	0
TRNAALA	Uncharged trna ala	M_trnaala_c	4.802666666666667e-05
TRNACYS	Uncharged trna cys	M_trnacys_c	8.56e-06
TRNAASP	Uncharged trna asp	M_trnaasp_c	2.2533333333333333e-05
TRNAGLU	Uncharged trna glu	M_trnaglu_c	2.46e-05
TRNAPHE	Uncharged trna phe	M_trnaphe_c	1.732e-05
TRNAGLY	Uncharged trna gly	M_trnagly_c	5.726666666666667e-05
TRNAHIS	Uncharged trna his	M_trnahis_c	8.853333333333334e-06
TRNAILE	Uncharged trna ile	M_trnaile_c	2.716e-05
TRNALYS	Uncharged trna lys	M_trnalys_c	3.2080000000000005e-05
TRNALEU	Uncharged trna leu	M_trnaleu_c	4.2119999999999997e-05
TRNAMET	Uncharged trna met	M_trnamet_c	1.4373333333333334e-05
TRNAASN	Uncharged trna asn	M_trnaasn_c	2.2533333333333333e-05
TRNAPRO	Uncharged trna pro	M_trnapro_c	2.0666666666666666e-05
TRNAGLN	Uncharged trna gln	M_glutrna_LPAREN_gln_RPAREN__c	2.46e-05
TRNAARG	Uncharged trna arg	M_trnaarg_c	2.7653333333333332e-05
TRNASER	Uncharged trna ser	M_trnaser_c	2.0173333333333332e-05
TRNATHR	Uncharged trna thr	M_trnathr_c	2.372e-05
TRNAVAL	Uncharged trna val	M_trnaval_c	3.956e-05
TRNATRP	Uncharged trna trp	M_trnatrp_c	5.32e-06
TRNATYR	Uncharged trna tyr	M_trnatyr_c	1.2893333333333332e-05
FMETTRNA	Charged trna fmet	M_fmettrna_c	0
ATP	ATP	M_atp_c	0.003
CTP	CTP	M_ctp_c	0.0005
GTP	GTP	M_gtp_c	0.0004
UTP	UTP	M_utp_c	0
ADP	ADP	M_adp_c	0.0026
CDP	CDP	M_cdp_c	0.0003
GDP	GDP	M_gdp_c	0.0002
UDP	UDP	M_udp_c	0
AMP	AMP	M_amp_c	0.0047
CMP	CMP	M_cmp_c	0.001
GMP	GMP	M_gmp_c	0.0005
UMP	UMP	M_ump_c	0
dATP	dATP	M_datp_c	0
dCTP	dCTP	M_dctp_c	0
dGTP	dGTP	M_dgtp_c	0
dTTP	dTTP	M_dttp_c	0
NAD	NAD	M_nad_c	0.0162
10FTHF	10-Formyltetrahydrofolate	M_10fthf_c	0.0004
K	Potassium	M_k_c	0.7063
COA	Coenzyme A	M_coa_c	0.0003
NADP	NADP	M_nadp_c	0.0009
NADPH	NADPH	M_nadph_c	0.0002
SPMD	SPMD	M_spmd_c	0.007
Pi	Phosphate	M_pi_c	0.0144
FOR	Formate	M_for_c	0
H2O	H2O	M_h2o_c	0
H	Proton	M_h_c	0
PPi	Pyrophosphate	M_ppi_c	0.0009
CHEBI:58937	thiamine diphosphate	M_thmpp_c	0
CHEBI:60052	siroheme	[MISSING]	0
CHEBI:57540	NAD(+)	M_nad_c	0
CHEBI:49883	[4Fe-4S] cluster	M_fe2_c	0
CHEBI:24875	Fe cation	M_fe2_c	0
CHEBI:25516	Ni cation	M_ni2_c	0
CHEBI:60342	dipyrromethane	[MISSING]	0
CHEBI:60344	heme b	M_pheme_c	0
CHEBI:57783	NADPH	M_nadph_c	0
CHEBI:28115	methylcob(III)alamin	[MISSING]	0
CHEBI:21137	[3Fe-4S] cluster	M_fe2_c	0
CHEBI:30413	heme	M_pheme_c	0
CHEBI:60240	a divalent metal cation	[MISSING]	0
CHEBI:28938	NH4(+)	M_nh4_c	0
CHEBI:18420	Mg(2+)	M_mg2_c	0
CHEBI:48828	Co(2+)	M_cobalt2_c	0
CHEBI:597326	pyridoxal 5'-phosphate	M_pydx5p_c	0
CHEBI:18408	adenosylcob(III)alamin	M_adocbl_c	0
CHEBI:58210	FMN	M_fmn_c	0
CHEBI:29035	Mn(2+)	M_mn2_c	0
CHEBI:29036	Cu(2+)	M_cu2_c	0
CHEBI:49601	[2Fe-2S] cluster	M_fe2_c	0
CHEBI:83088	(R)-lipoate	[MISSING]	0
CHEBI:57618	FMNH2	M_fmn_c	0
CHEBI:49786	Ni(2+)	M_ni2_c	0
CHEBI:15361	pyruvate	M_pyr_c	0
CHEBI:57692	FAD	M_fad_c	0
CHEBI:60539	Mo-bis(molybdopterin guanine dinucleotide)	[MISSING]	0
CHEBI:30616	ATP	M_atp_c	0
CHEBI:29105	Zn(2+)	M_zn2_c	0
CHEBI:29103	K(+)	M_k_c	0
