SBML ID	UNIPROT GENE
slr0969	average_protein_Cytoplasm
sll1382	average_protein_Cytoplasm
sll0404	average_protein_Cytoplasm
slr0088	average_protein_Cytoplasm
slr0089	average_protein_Cytoplasm
slr0288	average_protein_Cytoplasm
sll1721	average_protein_Cytoplasm
sll1833	average_protein_Cytoplasm
sll1831	average_protein_Cytoplasm
sll0244	average_protein_Cytoplasm
slr1332	average_protein_Cytoplasm
sll0053	average_protein_Cytoplasm
slr0239	average_protein_Cytoplasm
slr0949	average_protein_Cytoplasm
slr2088	average_protein_Cytoplasm
slr2089	average_protein_Cytoplasm
sll1612	average_protein_Cytoplasm
sll1598	average_protein_Cytoplasm
slr2081	average_protein_Cytoplasm
slr2083	average_protein_Cytoplasm
sll0330	average_protein_Cytoplasm
sll1471	average_protein_Cytoplasm
sll1189	average_protein_Cytoplasm
sll1182	average_protein_Cytoplasm
slr1067	average_protein_Cytoplasm
slr1020	average_protein_Cytoplasm
sll1981	average_protein_Cytoplasm
sll1370	average_protein_Cytoplasm
slr1237	average_protein_Cytoplasm
slr1233	average_protein_Cytoplasm
slr1722	average_protein_Cytoplasm
sll0712	average_protein_Cytoplasm
sll0300	average_protein_Cytoplasm
slr2043	average_protein_Cytoplasm
sll1713	average_protein_Cytoplasm
sll1103and sll1104	average_protein_Cytoplasm
sll0374	average_protein_Cytoplasm
sll0006	average_protein_Cytoplasm
sll1027	average_protein_Cytoplasm
sll0764	average_protein_Cytoplasm
slr0260	average_protein_Cytoplasm
ssr0102	average_protein_Cytoplasm
slr0559	average_protein_Cytoplasm
sll1625	average_protein_Cytoplasm
sll1441	average_protein_Cytoplasm
slr1933	average_protein_Cytoplasm
slr1509	average_protein_Cytoplasm
sll0895	average_protein_Cytoplasm
slr0467	average_protein_Cytoplasm
slr1072	average_protein_Cytoplasm
slr1879	average_protein_Cytoplasm
slr1078	average_protein_Cytoplasm
sll0166	average_protein_Cytoplasm
slr1434	average_protein_Cytoplasm
sll0726	average_protein_Cytoplasm
slr1200	average_protein_Cytoplasm
sll1841	average_protein_Cytoplasm
sll0823	average_protein_Cytoplasm
slr0851	average_protein_Cytoplasm
sll1662	average_protein_Cytoplasm
sll1212	average_protein_Cytoplasm
sll1561	average_protein_Cytoplasm
slr1239	average_protein_Cytoplasm
slr0036	average_protein_Cytoplasm
slr1653	average_protein_Cytoplasm
slr0836	average_protein_Cytoplasm
slr1249	average_protein_Cytoplasm
slr1248	average_protein_Cytoplasm
ssr1720	average_protein_Cytoplasm
slr1247	average_protein_Cytoplasm
sll0541	average_protein_Cytoplasm
sll0646	average_protein_Cytoplasm
Slr0493	average_protein_Cytoplasm
slr1145	average_protein_Cytoplasm
slr2072	average_protein_Cytoplasm
slr2074	average_protein_Cytoplasm
sll0794	average_protein_Cytoplasm
slr1784	average_protein_Cytoplasm
slr0493	average_protein_Cytoplasm
slr0492	average_protein_Cytoplasm
ssl2153	average_protein_Cytoplasm
slr0983	average_protein_Cytoplasm
slr0985	average_protein_Cytoplasm
sll1023	average_protein_Cytoplasm
sll1683	average_protein_Cytoplasm
sll1688	average_protein_Cytoplasm
sll1522	average_protein_Cytoplasm
sll0813	average_protein_Cytoplasm
slr0216	average_protein_Cytoplasm
sll1223	average_protein_Cytoplasm
sll1221	average_protein_Cytoplasm
sll1226	average_protein_Cytoplasm
sll1224	average_protein_Cytoplasm
slr1380	average_protein_Cytoplasm
sll1453	average_protein_Cytoplasm
slr0327	average_protein_Cytoplasm
slr1367	average_protein_Cytoplasm
slr1216	average_protein_Cytoplasm
slr1881	average_protein_Cytoplasm
slr1219	average_protein_Cytoplasm
slr0817	average_protein_Cytoplasm
slr1743	average_protein_Cytoplasm
sll0109	average_protein_Cytoplasm
sll0107	average_protein_Cytoplasm
sll0099	average_protein_Cytoplasm
sll1270	average_protein_Cytoplasm
slr0447	average_protein_Cytoplasm
slr0721	average_protein_Cytoplasm
slr2082	average_protein_Cytoplasm
sll1557	average_protein_Cytoplasm
sll1484	average_protein_Cytoplasm
slr0435	average_protein_Cytoplasm
slr2051	average_protein_Cytoplasm
sll1070	average_protein_Cytoplasm
slr0747	average_protein_Cytoplasm
slr1448	average_protein_Cytoplasm
slr1311	average_protein_Cytoplasm
sll1395	average_protein_Cytoplasm
slr0657	average_protein_Cytoplasm
sll1890	average_protein_Cytoplasm
slr0739	average_protein_Cytoplasm
slr0150	average_protein_Cytoplasm
sll0045	average_protein_Cytoplasm
slr0927	average_protein_Cytoplasm
slr1828	average_protein_Cytoplasm
sll1733	average_protein_Cytoplasm
sll1732	average_protein_Cytoplasm
sll0026	average_protein_Cytoplasm
sll0027	average_protein_Cytoplasm
sll1127	average_protein_Cytoplasm
slr1379	average_protein_Cytoplasm
sll0738	average_protein_Cytoplasm
slr0477	average_protein_Cytoplasm
sll1349	average_protein_Cytoplasm
sll1468	average_protein_Cytoplasm
sll0934	average_protein_Cytoplasm
slr1055	average_protein_Cytoplasm
ssl3803	average_protein_Cytoplasm
slr1556	average_protein_Cytoplasm
slr0051	average_protein_Cytoplasm
slr0055	average_protein_Cytoplasm
slr0056	average_protein_Cytoplasm
slr0809	average_protein_Cytoplasm
sll0682	average_protein_Cytoplasm
sll0680	average_protein_Cytoplasm
sll0681	average_protein_Cytoplasm
slr0898	average_protein_Cytoplasm
slr1124	average_protein_Cytoplasm
sll1641	average_protein_Cytoplasm
sll0207	average_protein_Cytoplasm
slr1991	average_protein_Cytoplasm
sll0383	average_protein_Cytoplasm
