ID	NAME	SBML ID	CONCENTRATION
MET	Methionine	M_fmet_c	0.0
ALATRNA	Charged trna ala	M_tala_c	0.0
CYSTRNA	Charged trna cys	M_tcys_c	0.0
ASPTRNA	Charged trna asp	M_tasp_c	0.0
GLUTRNA	Charged trna glu	M_tglu_c	0.0
PHETRNA	Charged trna phe	M_tphe_c	0.0
GLYTRNA	Charged trna gly	M_tgly_c	0.0
HISTRNA	Charged trna his	M_this_c	0.0
ILETRNA	Charged trna ile	M_tile_c	0.0
LYSTRNA	Charged trna lys	M_tlys_c	0.0
LEUTRNA	Charged trna leu	M_tleu_c	0.0
METTRNA	Charged trna met	M_tmet_c	0.0
ASNTRNA	Charged trna asn	M_tasn_c	0.0
PROTRNA	Charged trna pro	M_tpro_c	0.0
GLNTRNA	Charged trna gln	M_tgln_c	0.0
ARGTRNA	Charged trna arg	M_targ_c	0.0
SERTRNA	Charged trna ser	M_tser_c	0.0
THRTRNA	Charged trna thr	M_tthr_c	0.0
VALTRNA	Charged trna val	M_tval_c	0.0
TRPTRNA	Charged trna trp	M_ttrp_c	0.0
TYRTRNA	Charged trna tyr	M_ttyr_c	0.0
TRNAALA	Uncharged trna ala	M_trna_c	4.80266666667e-05
TRNACYS	Uncharged trna cys	M_trna2_c	8.56e-06
TRNAASP	Uncharged trna asp	M_trna_c	2.25333333333e-05
TRNAGLU	Uncharged trna glu	M_trna2_c	2.46e-05
TRNAPHE	Uncharged trna phe	M_trna_c	1.732e-05
TRNAGLY	Uncharged trna gly	M_trna_c	5.72666666667e-05
TRNAHIS	Uncharged trna his	M_trna_c	8.85333333333e-06
TRNAILE	Uncharged trna ile	M_trna_c	2.716e-05
TRNALYS	Uncharged trna lys	M_trna_c	3.208e-05
TRNALEU	Uncharged trna leu	M_trna2_c	4.212e-05
TRNAMET	Uncharged trna met	M_trna_c	1.43733333333e-05
TRNAASN	Uncharged trna asn	M_trna_c	2.25333333333e-05
TRNAPRO	Uncharged trna pro	M_trna_c	2.06666666667e-05
TRNAGLN	Uncharged trna gln	M_trna2_c	2.46e-05
TRNAARG	Uncharged trna arg	M_trna_c	2.76533333333e-05
TRNASER	Uncharged trna ser	M_trna_c	2.01733333333e-05
TRNATHR	Uncharged trna thr	M_trna2_c	2.372e-05
TRNAVAL	Uncharged trna val	M_trna_c	3.956e-05
TRNATRP	Uncharged trna trp	M_trna_c	5.32e-06
TRNATYR	Uncharged trna tyr	M_trna_c	1.28933333333e-05
FMETTRNA	Charged trna fmet	M_tfmet_c	0.0
ATP	ATP	M_atp_c	0.003
CTP	CTP	M_ctp_c	0.0005
GTP	GTP	M_gtp_c	0.0004
UTP	UTP	M_utp_c	0.0
ADP	ADP	M_adp_c	0.0026
CDP	CDP	M_cdp_c	0.0003
GDP	GDP	M_gdp_c	0.0002
UDP	UDP	M_udp_c	0.0
AMP	AMP	M_amp_c	0.0047
CMP	CMP	M_cmp_c	0.001
GMP	GMP	M_gmp_c	0.0005
UMP	UMP	M_ump_c	0.0
dATP	dATP	M_datp_c	0.0
dCTP	dCTP	M_dctp_c	0.0
dGTP	dGTP	M_dgtp_c	0.0
dTTP	dTTP	M_dttp_c	0.0
NAD	NAD	M_nad_c	0.0162
10FTHF	10-Formyltetrahydrofolate	M_fthf_c	0.0004
K	Potassium	M_k_c	0.7063
COA	Coenzyme A	M_coa_c	0.0003
NADP	NADP	M_nadp_c	0.0009
NADPH	NADPH	M_nadph_c	0.0002
SPMD	SPMD	M_sprm_c	0.007
Pi	Phosphate	M_p_c	0.0144
FOR	Formate	[MISSING]	0.0
H2O	H2O	M_h2o_c	0.0
H	Proton	M_h_c	0.0
PPi	Pyrophosphate	M_pp_c	0.0009
CHEBI:18420	Mg(2+)	M_mg2_c	0.0
CHEBI:71302	Mo-molybdopterin	[MISSING]	0.0
CHEBI:58937	thiamine diphosphate	M_tpp_c	0.0
CHEBI:57925	glutathione	[MISSING]	0.0
CHEBI:57540	NAD(+)	M_nad_c	0.0
CHEBI:49883	[4Fe-4S] cluster	[MISSING]	0.0
CHEBI:24875	Fe cation	M_fe2_c	0.0
CHEBI:57586	biotin	M_bio_c	0.0
CHEBI:25516	Ni cation	[MISSING]	0.0
