function	medium_1	constant
function	medium_2	constant
function	medium_3	constant
function	medium_4	constant
function	medium_5	constant
function	linearModel	linear
TptsG	medium_1	CONSTANT	1334026.4422
TptsG	medium_2	CONSTANT	1334026.4422
TptsG	medium_3	CONSTANT	1334026.4422
TptsG	medium_4	CONSTANT	1334026.4422
TptsG	medium_5	CONSTANT	1334026.4422
TptsG	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	1334026.4422	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TfruA	medium_1	CONSTANT	1334026.4422
TfruA	medium_2	CONSTANT	1334026.4422
TfruA	medium_3	CONSTANT	1334026.4422
TfruA	medium_4	CONSTANT	1334026.4422
TfruA	medium_5	CONSTANT	1334026.4422
TfruA	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	1334026.4422	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TfruLev	medium_1	CONSTANT	1334026.4422
TfruLev	medium_2	CONSTANT	1334026.4422
TfruLev	medium_3	CONSTANT	1334026.4422
TfruLev	medium_4	CONSTANT	1334026.4422
TfruLev	medium_5	CONSTANT	1334026.4422
TfruLev	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	1334026.4422	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TmalP	medium_1	CONSTANT	667013.2211
TmalP	medium_2	CONSTANT	667013.2211
TmalP	medium_3	CONSTANT	667013.2211
TmalP	medium_4	CONSTANT	667013.2211
TmalP	medium_5	CONSTANT	667013.2211
TmalP	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	667013.2211	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TsacP	medium_1	CONSTANT	667013.2211
TsacP	medium_2	CONSTANT	667013.2211
TsacP	medium_3	CONSTANT	667013.2211
TsacP	medium_4	CONSTANT	667013.2211
TsacP	medium_5	CONSTANT	667013.2211
TsacP	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	667013.2211	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TmanP	medium_1	CONSTANT	1334026.4422
TmanP	medium_2	CONSTANT	1334026.4422
TmanP	medium_3	CONSTANT	1334026.4422
TmanP	medium_4	CONSTANT	1334026.4422
TmanP	medium_5	CONSTANT	1334026.4422
TmanP	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	1334026.4422	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TmtlA	medium_1	CONSTANT	1334026.4422
TmtlA	medium_2	CONSTANT	1334026.4422
TmtlA	medium_3	CONSTANT	1334026.4422
TmtlA	medium_4	CONSTANT	1334026.4422
TmtlA	medium_5	CONSTANT	1334026.4422
TmtlA	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	1334026.4422	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TtreP	medium_1	CONSTANT	667013.2211
TtreP	medium_2	CONSTANT	667013.2211
TtreP	medium_3	CONSTANT	667013.2211
TtreP	medium_4	CONSTANT	667013.2211
TtreP	medium_5	CONSTANT	667013.2211
