SBML ID	UNIPROT GENE
e0111	average_protein_Cell_outer_membrane
e0057	average_protein_Cell_outer_membrane
e0056	average_protein_Cell_outer_membrane
e0450	average_protein_Cell_outer_membrane
d0084	
e0383	average_protein_Cell_outer_membrane
d0098	
d0099	
e0382	average_protein_Cell_outer_membrane
s0051	
s0050	
s0053	
s0052	
d0096	
d0120	
d0094	
d0095	
e0029	average_protein_Cell_outer_membrane
e0387	average_protein_Cell_outer_membrane
e0386	average_protein_Cell_outer_membrane
e0109	average_protein_Cell_outer_membrane
e0108	average_protein_Cell_outer_membrane
d0003	
d0002	
d0005	
d0004	
d0007	
d0006	
d0009	
d0008	
e0103	average_protein_Cell_outer_membrane
e0102	average_protein_Cell_outer_membrane
e0105	average_protein_Cell_outer_membrane
e0104	average_protein_Cell_outer_membrane
e0107	average_protein_Cell_outer_membrane
e0106	average_protein_Cell_outer_membrane
d0137	
d0155	
d0168	
d0169	
d0166	
d0167	
d0164	
d0165	
d0162	
d0128	
d0160	
d0161	
e0021	average_protein_Cell_outer_membrane
d0218	
e0202	average_protein_Cell_outer_membrane
e0203	average_protein_Cell_outer_membrane
e0200	average_protein_Cell_outer_membrane
e0201	average_protein_Cell_outer_membrane
e0206	average_protein_Cell_outer_membrane
e0207	average_protein_Cell_outer_membrane
e0204	average_protein_Cell_outer_membrane
e0205	average_protein_Cell_outer_membrane
e0208	average_protein_Cell_outer_membrane
e0209	average_protein_Cell_outer_membrane
d0138	
d0216	
e0058	average_protein_Cell_outer_membrane
RS05733	
RS05732	
d0236	
d0237	
d0234	
d0235	
d0232	
d0233	
RS04529	
RS04528	
d0238	
d0239	
e0381	average_protein_Cell_outer_membrane
e0072	average_protein_Cell_outer_membrane
e0338	average_protein_Cell_outer_membrane
e0339	average_protein_Cell_outer_membrane
e0336	average_protein_Cell_outer_membrane
e0337	average_protein_Cell_outer_membrane
e0334	average_protein_Cell_outer_membrane
e0335	average_protein_Cell_outer_membrane
e0332	average_protein_Cell_outer_membrane
e0333	average_protein_Cell_outer_membrane
e0330	average_protein_Cell_outer_membrane
e0331	average_protein_Cell_outer_membrane
e0099	average_protein_Cell_outer_membrane
e0380	average_protein_Cell_outer_membrane
e0096	average_protein_Cell_outer_membrane
RS02877	
e0093	average_protein_Cell_outer_membrane
e0092	average_protein_Cell_outer_membrane
e0090	average_protein_Cell_outer_membrane
d0122	
d0123	
e0028	average_protein_Cell_outer_membrane
d0121	
d0126	
d0127	
d0124	
d0125	
e0022	average_protein_Cell_outer_membrane
e0023	average_protein_Cell_outer_membrane
e0020	average_protein_Cell_outer_membrane
d0129	
e0026	average_protein_Cell_outer_membrane
e0027	average_protein_Cell_outer_membrane
e0024	average_protein_Cell_outer_membrane
e0025	average_protein_Cell_outer_membrane
s0006	
s0007	
s0004	
s0005	
s0002	
s0003	
s0001	
s0008	
s0009	
e0267	average_protein_Cell_outer_membrane
d0211	
e0156	average_protein_Cell_outer_membrane
e0157	average_protein_Cell_outer_membrane
e0154	average_protein_Cell_outer_membrane
e0155	average_protein_Cell_outer_membrane
e0152	average_protein_Cell_outer_membrane
e0153	average_protein_Cell_outer_membrane
e0150	average_protein_Cell_outer_membrane
e0151	average_protein_Cell_outer_membrane
e0263	average_protein_Cell_outer_membrane
e0158	average_protein_Cell_outer_membrane
e0159	average_protein_Cell_outer_membrane
d0197	
d0196	
d0195	
d0194	
d0193	
d0192	
d0058	
d0059	
d0056	
d0057	
d0054	
d0055	
d0052	
d0053	
d0050	
d0051	
d0091	
e0268	average_protein_Cell_outer_membrane
s0054	
e0269	average_protein_Cell_outer_membrane
e0389	average_protein_Cell_outer_membrane
e0372	average_protein_Cell_outer_membrane
e0373	average_protein_Cell_outer_membrane
e0370	average_protein_Cell_outer_membrane
e0371	average_protein_Cell_outer_membrane
e0376	average_protein_Cell_outer_membrane
e0377	average_protein_Cell_outer_membrane
e0374	average_protein_Cell_outer_membrane
e0375	average_protein_Cell_outer_membrane
e0066	average_protein_Cell_outer_membrane
e0378	average_protein_Cell_outer_membrane
e0379	average_protein_Cell_outer_membrane
e0279	average_protein_Cell_outer_membrane
e0278	average_protein_Cell_outer_membrane
e0273	average_protein_Cell_outer_membrane
e0272	average_protein_Cell_outer_membrane
e0271	average_protein_Cell_outer_membrane
e0388	average_protein_Cell_outer_membrane
e0277	average_protein_Cell_outer_membrane
e0276	average_protein_Cell_outer_membrane
e0275	average_protein_Cell_outer_membrane
e0274	average_protein_Cell_outer_membrane
e0428	average_protein_Cell_outer_membrane
e0429	average_protein_Cell_outer_membrane
e0426	average_protein_Cell_outer_membrane
e0427	average_protein_Cell_outer_membrane
e0424	average_protein_Cell_outer_membrane
e0238	average_protein_Cell_outer_membrane
e0423	average_protein_Cell_outer_membrane
e0420	average_protein_Cell_outer_membrane
e0421	average_protein_Cell_outer_membrane
RS00236	
RS00235	
RS00330	
