ID	NAME	SBML ID	CONCENTRATION
MET	Methionine	M_met_c	0.0
ALATRNA	Charged trna ala	[MISSING]	0.0
CYSTRNA	Charged trna cys	[MISSING]	0.0
ASPTRNA	Charged trna asp	[MISSING]	0.0
GLUTRNA	Charged trna glu	[MISSING]	0.0
PHETRNA	Charged trna phe	[MISSING]	0.0
GLYTRNA	Charged trna gly	[MISSING]	0.0
HISTRNA	Charged trna his	[MISSING]	0.0
ILETRNA	Charged trna ile	[MISSING]	0.0
LYSTRNA	Charged trna lys	[MISSING]	0.0
LEUTRNA	Charged trna leu	[MISSING]	0.0
METTRNA	Charged trna met	[MISSING]	0.0
ASNTRNA	Charged trna asn	[MISSING]	0.0
PROTRNA	Charged trna pro	[MISSING]	0.0
GLNTRNA	Charged trna gln	[MISSING]	0.0
ARGTRNA	Charged trna arg	[MISSING]	0.0
SERTRNA	Charged trna ser	[MISSING]	0.0
THRTRNA	Charged trna thr	[MISSING]	0.0
VALTRNA	Charged trna val	[MISSING]	0.0
TRPTRNA	Charged trna trp	[MISSING]	0.0
TYRTRNA	Charged trna tyr	[MISSING]	0.0
TRNAALA	Uncharged trna ala	[MISSING]	4.80266666667e-05
TRNACYS	Uncharged trna cys	[MISSING]	8.56e-06
TRNAASP	Uncharged trna asp	[MISSING]	2.25333333333e-05
TRNAGLU	Uncharged trna glu	[MISSING]	2.46e-05
TRNAPHE	Uncharged trna phe	[MISSING]	1.732e-05
TRNAGLY	Uncharged trna gly	[MISSING]	5.72666666667e-05
TRNAHIS	Uncharged trna his	[MISSING]	8.85333333333e-06
TRNAILE	Uncharged trna ile	[MISSING]	2.716e-05
TRNALYS	Uncharged trna lys	[MISSING]	3.208e-05
TRNALEU	Uncharged trna leu	[MISSING]	4.212e-05
TRNAMET	Uncharged trna met	[MISSING]	1.43733333333e-05
TRNAASN	Uncharged trna asn	[MISSING]	2.25333333333e-05
TRNAPRO	Uncharged trna pro	[MISSING]	2.06666666667e-05
TRNAGLN	Uncharged trna gln	[MISSING]	2.46e-05
TRNAARG	Uncharged trna arg	[MISSING]	2.76533333333e-05
TRNASER	Uncharged trna ser	[MISSING]	2.01733333333e-05
TRNATHR	Uncharged trna thr	[MISSING]	2.372e-05
TRNAVAL	Uncharged trna val	[MISSING]	3.956e-05
TRNATRP	Uncharged trna trp	[MISSING]	5.32e-06
TRNATYR	Uncharged trna tyr	[MISSING]	1.28933333333e-05
FMETTRNA	Charged trna fmet	[MISSING]	0.0
ATP	ATP	M_atp_c	0.003
CTP	CTP	M_ctp_c	0.0005
GTP	GTP	M_gtp_c	0.0004
UTP	UTP	M_utp_c	0.0
ADP	ADP	M_adp_c	0.0026
CDP	CDP	M_cdp_c	0.0003
GDP	GDP	M_gdp_c	0.0002
UDP	UDP	M_udp_c	0.0
AMP	AMP	M_amp_c	0.0047
CMP	CMP	M_cmp_c	0.001
GMP	GMP	M_gmp_c	0.0005
UMP	UMP	M_ump_c	0.0
dATP	dATP	M_datp_c	0.0
dCTP	dCTP	M_dctp_c	0.0
dGTP	dGTP	M_dgtp_c	0.0
dTTP	dTTP	M_dttp_c	0.0
NAD	NAD	M_nad_c	0.0162
10FTHF	10-Formyltetrahydrofolate	[MISSING]	0.0004
K	Potassium	M_k_c	0.7063
COA	Coenzyme A	M_coa_c	0.0003
NADP	NADP	M_nadp_c	0.0009
NADPH	NADPH	M_nadph_c	0.0002
SPMD	SPMD	[MISSING]	0.007
Pi	Phosphate	[MISSING]	0.0144
FOR	Formate	[MISSING]	0.0
H2O	H2O	M_h2o_c	0.0
H	Proton	M_h_c	0.0
PPi	Pyrophosphate	[MISSING]	0.0009
CHEBI:18420	Mg(2+)	[MISSING]	0.0
CHEBI:71302	Mo-molybdopterin	[MISSING]	0.0
CHEBI:58937	thiamine diphosphate	[MISSING]	0.0
CHEBI:57925	glutathione	[MISSING]	0.0
CHEBI:57540	NAD(+)	[MISSING]	0.0
CHEBI:49883	[4Fe-4S] cluster	[MISSING]	0.0
CHEBI:24875	Fe cation	[MISSING]	0.0
CHEBI:57586	biotin	[MISSING]	0.0
CHEBI:25516	Ni cation	[MISSING]	0.0
CHEBI:60342	dipyrromethane	[MISSING]	0.0
CHEBI:60344	heme b	[MISSING]	0.0
CHEBI:57783	NADPH	[MISSING]	0.0
CHEBI:21137	[3Fe-4S] cluster	[MISSING]	0.0
CHEBI:30413	heme	[MISSING]	0.0
CHEBI:60240	a divalent metal cation	[MISSING]	0.0
CHEBI:28938	NH4(+)	[MISSING]	0.0
CHEBI:60539	Mo-bis(molybdopterin guanine dinucleotide)	[MISSING]	0.0
CHEBI:49786	Ni(2+)	[MISSING]	0.0
CHEBI:60532	ferriheme a	[MISSING]	0.0
CHEBI:597326	pyridoxal 5'-phosphate	[MISSING]	0.0
CHEBI:47942	pantetheine 4'-phosphate	[MISSING]	0.0
CHEBI:29033	Fe(2+)	[MISSING]	0.0
CHEBI:58210	FMN	[MISSING]	0.0
CHEBI:29035	Mn(2+)	[MISSING]	0.0
CHEBI:29036	Cu(2+)	[MISSING]	0.0
CHEBI:49601	[2Fe-2S] cluster	[MISSING]	0.0
CHEBI:83088	(R)-lipoate	[MISSING]	0.0
CHEBI:60052	siroheme	[MISSING]	0.0
CHEBI:57618	FMNH2	[MISSING]	0.0
CHEBI:48828	Co(2+)	[MISSING]	0.0
CHEBI:15361	pyruvate	[MISSING]	0.0
CHEBI:62814	heme d cis-diol	[MISSING]	0.0
CHEBI:17544	hydrogencarbonate	[MISSING]	0.0
CHEBI:57692	FAD	[MISSING]	0.0
CHEBI:29108	Ca(2+)	[MISSING]	0.0
CHEBI:29105	Zn(2+)	[MISSING]	0.0
CHEBI:29103	K(+)	[MISSING]	0.0
