Metabolite	Concentration
M_sor	10
M_met	10
M_mn2	10
M_act	10
M_val	10
M_xth	10
M_ino	10
M_ca2	10
M_cys	10
M_cu2	10
M_cell	10
M_inos	10
M_rib	10
M_lys	10
M_aloi	10
M_cit	10
M_fru	10
M_phe	10
M_ala	10
M_leu	10
M_asp	10
M_hex	10
M_asn	10
M_ado	10
M_mtl	10
M_p	10
M_ade	10
M_ribf	10
M_ile	10
M_naglcn	10
M_nh3	10
M_dado	10
M_lct	10
M_k	10
M_uri	10
M_trp	10
M_glcn	10
M_ura	10
M_tre	10
M_cti	10
M_cto	10
M_dguo	10
M_urt	10
M_guo	10
M_pyr	10
M_glc	10
M_gln	10
M_glo	10
M_gua	10
M_tyr	10
M_glu	10
M_gly	10
M_malt	10
M_thr	10
M_thy	10
M_bio	10
M_pan	10
M_nia	10
M_thi	10
M_sucr	10
M_ara	10
M_o2	10
M_fol	10
M_akg	10
M_na	10
M_zn2	10
M_no2	10
M_no3	10
M_lic	10
M_hemeb	10
M_his	10
M_fe3	10
M_co2	10
M_arg	10
M_hxtx	10
M_ser	10
M_succ	10
M_fum	10
M_gnt	10
M_ac	10
M_pro	10
M_sul	10
M_namur	10
M_mg2	10
M_form	10
M_man	10
M_mal	10
M_h2o	10
