ENTRY	GENE NAME	NAME	LOCATION
Q84WB8	At1g63660	Putative GMP synthase	Cytoplasm
C0Z2E7	At3g54470	AT3G54470 protein	Cytoplasm
C0Z3C3	At1g75330	AT1G75330 protein	Cytoplasm
F4I032	EMB1144 embryo defective 1144 At1g48850 T24P22.3 T24P22_3	Chorismate synthase (EC 4.2.3.5)	Cytoplasm
A8MRW9	HXK2 ATHXK2 HEXOKINASE 2 hexokinase 2 At2g19860 F6F22.11 F6F22_11	Phosphotransferase (EC 2.7.1.-)	Cytoplasm
A0A1P8AMY1	PSP 3-PHOSPHOSERINE PHOSPHATASE 3-phosphoserine phosphatase phosphoserine phosphatase 1 PSP1 At1g18640	3-phosphoserine phosphatase	Cytoplasm
B9DHU6	At4g26900	AT4G26900 protein (Fragment)	Cytoplasm
Q56WU3	At3g58610	Ketol-acid reductoisomerase	Cytoplasm
Q56ZW5	At1g65930	NADP specific isocitrate dehydrogenase like protein (Fragment)	Cytoplasm
C0Z354	At3g01120	AT3G01120 protein	Cytoplasm
W8PUR4	AT3G46970	Alpha-1,4 glucan phosphorylase (EC 2.4.1.1) (Fragment)	Cytoplasm
B9DHM5	At4g15530	Pyruvate, phosphate dikinase (EC 2.7.9.1)	Cytoplasm
A0A1P8ANC0	HPR ATHPR1 hydroxypyruvate reductase At1g68010	Hydroxypyruvate reductase	Cytoplasm
F4IMR0	EMB3147 EMBRYO DEFECTIVE 3147 At2g30200 T27E13.6 T27E13_6	EMBRYO DEFECTIVE 3147	Cytoplasm
A0A1P8B108	At2g19940 F6F22.3 F6F22_3	N-acetyl-gamma-glutamyl-phosphate reductase (Putative N-acetyl-gamma-glutamyl-phosphate reductase)	Cytoplasm
B3H778	At4g24830 F6I7.40 F6I7_40	Arginosuccinate synthase family	Cytoplasm
Q570B9	At2g24270	Putative NADP-dependent glyceraldehyde-3-phosphate dehydrogenase (Fragment)	Cytoplasm
Q9SPK5	THFS At1g50480 F11F12.17 F17J6.2	Formate--tetrahydrofolate ligase (EC 6.3.4.3) (10-formyletrahydrofolate synthetase) (FHS) (FTHFS) (Formyltetrahydrofolate synthetase)	Cytoplasm
A0A1P8BDR1	FUM2 FUMARASE 2 At5g50950 K3K7.11 K3K7_11	FUMARASE 2	Cytoplasm
C0Z349	At5g14780	AT5G14780 protein	Cytoplasm
A0A1P8AMB3	At1g80380 F5I6.13 F5I6_13	p-loop containing nucleoside triphosphate hydrolases superfamily protein	Cytoplasm
Q0WM10	At5g58330	NADP-dependent malate dehydrogenase (Fragment)	Cytoplasm
Q8RWT5	At2g35040 F19I3.27 F19I3_27	AICARFT/IMPCHase bienzyme family protein (Putative phosphoribosylaminoimidazolecarboxamide formyltransferase)	Cytoplasm
Q56YX1	At2g15620	Ferredoxin--nitrite reductase	Cytoplasm
Q570G7	At1g74260	Putative phosphoribosylformylglycinamidine synthase (Fragment)	Cytoplasm
Q2PGG3	SR SR1 At4g11640 T5C23.70	Serine racemase (AtSR) (EC 4.3.1.17) (EC 4.3.1.18) (EC 5.1.1.18) (D-serine ammonia-lyase) (D-serine dehydratase) (L-serine ammonia-lyase) (L-serine dehydratase)	Cytoplasm
Q9LQK9	IDH4 At1g32480 F5D14.26	Putative isocitrate dehydrogenase [NAD] subunit-like 4 (IDH-IV) (Isocitric dehydrogenase-like protein 4) (NAD(+)-specific ICDH 4)	Cytoplasm
A0A1P8AW38	At1g51720 F19C24.7 F19C24_7	Amino acid dehydrogenase family protein	Cytoplasm
A0A1P8BCV2	ACS acetyl-CoA synthetase At5g36880	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	Cytoplasm
F4K884	P5CR AT-P5C1 AT-P5R EMB2772 EMBRYO DEFECTIVE 2772 At5g14800 T9L3.100 T9L3_100	Pyrroline-5-carboxylate (P5C) reductase	Cytoplasm
Q84TI2	At2g37690 F13M22.19 F13M22_19	Phosphoribosylaminoimidazole carboxylase like protein (Phosphoribosylaminoimidazole carboxylase, putative / AIR carboxylase) (Putative phosphoribosylaminoimidazole carboxylase)	Cytoplasm
Q0WWE9	At3g21720	Isocitrate lyase	Cytoplasm
A0A1P8AUE7	AT-IE HISN2 HISTIDINE BIOSYNTHESIS 2 At1g31860 F5M6.13 F5M6_13	Histidine biosynthesis bifunctional protein (HISIE)	Cytoplasm
A0A1P8ASQ3	THA1 threonine aldolase 1 At1g08630 F22O13.11 F22O13_11	Threonine aldolase 1	Cytoplasm
F4KJ62	ZEU1 ATTMPK.1 ATTMPK.2 ZEUS1 At5g59440 F2O15.12 F2O15_12	P-loop containing nucleoside triphosphate hydrolases superfamily protein	Cytoplasm
Q9SR52	URE At1g67550 F12B7.10	Urease (EC 3.5.1.5) (Urea amidohydrolase)	Cytoplasm
Q56Z42	At5g03860	Malate synthase-like protein	Cytoplasm
Q9LPM8	BCAT7 At1g50090 F2J10.5	Putative branched-chain-amino-acid aminotransferase 7 (Atbcat-7)	Cytoplasm
B9DGQ1	At5g48230	AT5G48230 protein	Cytoplasm
C0Z3D4	At1g76490	AT1G76490 protein	Cytoplasm
B9DI56	At3g47520	AT3G47520 protein (Fragment)	Cytoplasm
B3H5Z2	At4g00520	Acyl-CoA thioesterase family protein	Cytoplasm
Q56YS1	At2g32440	Putative cytochrome P450 (Fragment)	Cytoplasm
O23171	MES9 At4g37150 AP22.78 C7A10.210	Methylesterase 9 (AtMES9) (EC 3.1.1.-)	Cytoplasm
A0A1I9LS30	HA7 AHA7 H(+)-ATPase 7 At3g60330 T8B10.1	Plasma membrane ATPase (EC 3.6.3.6)	Cytoplasm
Q681L2	At5g25130	Cytochrome P450-like protein (Fragment)	Cytoplasm
A8MQK3	mMDH2 At3g15020	Malate dehydrogenase (EC 1.1.1.37)	Cytoplasm
F4HYE4	FANCM At-FANCM At1g35530 F15O4.40	DEAD/DEAH box RNA helicase family protein	Cytoplasm
Q56ZT4	At5g48300	ADPG pyrophosphorylase small subunit	Cytoplasm
F4HST9	OPCL1 OPC-8:0 CoA ligase1 At1g20510 F5M15.17 F5M15_17	OPC-8:0 CoA ligase1	Cytoplasm
F4JN38	CST CAST AWAY CONNEXIN 32 CX32 Kin4 kinase 4 At4g35600 F8D20.110 F8D20_110	Protein kinase superfamily protein	Cytoplasm
A0A1P8AUM8	IMD3 ATIMD3 IPMDH1 At1g31180 F28K20.14 F28K20_14	3-isopropylmalate dehydrogenase (EC 1.1.1.85)	Cytoplasm
A8MS34	DWF5 7-STEROL DELTA7 REDUCTASE 7RED DELTA5 DWARF 5 LE LEPIDA PA PARVA ST7R STEROL DELTA7 REDUCTASE At1g50430 F11F12.21 F11F12_21	Ergosterol biosynthesis ERG4/ERG24 family	Cytoplasm
F4JTL3	CPK26 ATCPK26 At4g38230 F20D10.350 F20D10_350	Calcium-dependent protein kinase 26	Cytoplasm
Q8GWF7	At2g30750	Putative cytochrome P450	Cytoplasm
B9DH02	At5g07440	AT5G07440 protein (Fragment)	Cytoplasm
A0A1P8B9K9	AMK2 adenosine monophosphate kinase MCA23.18 MCA23_18 At5g47840	Adenosine monophosphate kinase	Cytoplasm
Q9SZT7	''cytochrome P450 CYP81D8 cytochrome P450 family 81 polypeptide 8 polypeptide 8'' subfamily D At4g37370 F6G17.20 F6G17_20	Cytochrome P450, family 81, subfamily D, polypeptide 8 (Cytochrome P450-like protein)	Cytoplasm
F4I5V8	ACLA-1 ATP-citrate lyase A-1 At1g10670 F20B24.11 F20B24_11	ATP-citrate lyase A-1	Cytoplasm
Q0WRI9	At5g22840	Serine protein kinase like protein	Cytoplasm
A0A1P8AN93	At1g63380 F2K11.24 F2K11_24	NAD(P)-binding Rossmann-fold superfamily protein	Cytoplasm
Q9LSU6	SAMDC3 At3g25570 MWL2.23	S-adenosylmethionine decarboxylase proenzyme 3 (AdoMetDC3) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase 1 alpha chain; S-adenosylmethionine decarboxylase 1 beta chain]	Cytoplasm
A0A1P8BBQ0	PMDH2 At5g09660 F17I14.150 F17I14_150	Peroxisomal NAD-malate dehydrogenase 2	Cytoplasm
Q56WI8	At2g01350	Nicotinate-nucleotide pyrophosphorylase like protein	Cytoplasm
Q56WQ7	At1g10070	Branched-chain amino acid aminotransferase-like protein	Cytoplasm
Q9ZW20	At2g29370 F16P2.25	Tropinone reductase homolog At2g29370 (EC 1.1.1.-)	Cytoplasm
Q9FFW8	TSBtype2 MBB18.6 MBB18_6 At5g38530	Tryptophan synthase beta chain (Tryptophan synthase beta type 2)	Cytoplasm
A0A1P8B9C5	APT5 At5g11160 F2I11.50 F2I11_50	Adenine phosphoribosyltransferase 5	Cytoplasm
Q0WW25	At5g04140	Ferredoxin-dependent glutamate synthase	Cytoplasm
Q9SID0	At2g31390 T28P16.12	Probable fructokinase-1 (EC 2.7.1.4)	Cytoplasm
B9DHN8	At3g42050	AT3G42050 protein (Fragment)	Cytoplasm
Q9FY87	At5g09280 T5E8.80 T5E8_80	Pectate lyase (EC 4.2.2.2)	Cytoplasm
B9DH36	GER2 At1g17890 F2H15.12 F2H15_12	AT1G17890 protein (NAD(P)-binding Rossmann-fold superfamily protein)	Cytoplasm
Q9FIN1	At5g24410 K16H17.12	Probable 6-phosphogluconolactonase 4 (6PGL 4) (EC 3.1.1.31)	Cytoplasm
A0A1P8AMR3	HA9 AHA9 H(+)-ATPase 9 At1g80660 F23A5.1 F23A5_1	Plasma membrane ATPase (EC 3.6.3.6)	Cytoplasm
A0A1P8B4R4	ROT3 AP22.10 AP22_10 CYP90C1 ROTUNDIFOLIA 3 At4g36380	Cytochrome P450 superfamily protein	Cytoplasm
Q9FLH8	At5g51830 MIO24.3	Probable fructokinase-7 (EC 2.7.1.4)	Cytoplasm
F4HU51	At1g01710 T1N6.10 T1N6.9 T1N6_10 T1N6_9	Acyl-CoA thioesterase II	Cytoplasm
Q56ZH6	At4g29010	AIM1 protein (Fragment)	Cytoplasm
O81884	LGALDH At4g33670 T16L1.160	L-galactose dehydrogenase (At-GalDH) (L-GalDH) (EC 1.1.1.316)	Cytoplasm
Q9C723	At1g55090 T7N22.4	Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing]) (NAD(+) synthetase)	Cytoplasm
B3H725	HDS CHLOROPLAST BIOGENESIS 4 CLB4 CONSTITUTIVE SUBTILISIN 3 CSB3 GCPE ISPG MUP24.15 MUP24_15 At5g60600	4-hydroxy-3-methylbut-2-enyl diphosphate synthase	Cytoplasm
Q56Z20	At2g20420	AT2G20420 protein (Succinyl-CoA ligase beta subunit) (Fragment)	Cytoplasm
Q9C7W4	LACS3 At1g64400 F15H21.7	Long chain acyl-CoA synthetase 3 (EC 6.2.1.3)	Cytoplasm
A0A1P8AUP9	emb1688 embryo defective 1688 At1g67440 T1F15.10 T1F15_10	Minichromosome maintenance (MCM2/3/5) family protein	Cytoplasm
Q8VYA6	At4g37410	Cytochrome P450 monooxygenase-like protein (Fragment)	Cytoplasm
Q8LG98	At1g28120 F13K9.21	Ubiquitin thioesterase otubain-like (EC 3.4.19.12) (Deubiquitinating enzyme otubain-like) (Ubiquitin-specific-processing protease otubain-like)	Cytoplasm
