ENTRY	GENE NAME	NAME	LOCATION
Q8Y358	RSc0123	Putative choline dehydrogenase and related flavoproteins oxidoreductase (EC 1.1.-.-)	[MISSING]
Q8XUC8	RSc3263	Putative cytochrome c signal peptide protein	[MISSING]
Q8Y056	trxA RSc1188	Thioredoxin	[MISSING]
Q8XSW0	fabB RSp0357	Probable 3-oxoacyl-[acyl-carrier-protein] synthase i (EC 2.3.1.41)	[MISSING]
Q8XSW6	flgK RSp0351	Probable flagellar hook-associated protein 1	[MISSING]
Q8XSW5	flgL RSp0352	Probable flagellar hook-associated protein 3	[MISSING]
Q8XS57	cobL RSp0624	Probable precorrin-6b methylase methyltransferase protein (EC 2.1.1.132)	[MISSING]
Q8XUY7	RSc3046	Putative sugar-phosphate atp-binding abc transporter protein	[MISSING]
Q8XYX3	phbB RSc1633	Probable acetoacetyl-coa reductase oxidoreductase protein (EC 1.1.1.36)	[MISSING]
Q8Y295	gntK RSc0441	Gluconokinase (EC 2.7.1.12)	[MISSING]
Q8XPS9	zwf RSp1559	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	[MISSING]
Q8XQW4	otsB RSp1104	Trehalose 6-phosphate phosphatase (EC 3.1.3.12)	[MISSING]
Q8XQW7	galE RSp1101	Probable udp-glucose 4-epimerase protein (EC 5.1.3.2)	[MISSING]
Q8XPT2	popF1 RSp1555	Secreted protein popf1	[MISSING]
Q8Y0F5	nagH RSc1089	Putative salicylate-5-hydroxylase small oxygenase component oxidoreductase protein (EC 1.-.-.-)	[MISSING]
Q8XT90	fca RSp0225	Probable ferulic acid hydratase protein	[MISSING]
Q8XQW3	otsA RSp1105	Trehalose-6-phosphate synthase (EC 2.4.1.15) (Osmoregulatory trehalose synthesis protein A) (UDP-glucose-glucosephosphate glucosyltransferase)	[MISSING]
Q8XPM7	gabD2 RSp1611	Probable succinate-semialdehyde dehydrogenase oxidoreductase protein (EC 1.2.1.16)	[MISSING]
Q8XXD1	qor RSc2184	Probable nadph:quinone reductase, zeta-crystallin homolog oxidoreductase protein (EC 1.6.5.5)	[MISSING]
Q8XXD0	mgsA RSc2185 RS01414	Methylglyoxal synthase (MGS) (EC 4.2.3.3)	[MISSING]
Q8Y2U5	icmF RSc0237	Fused isobutyryl-CoA mutase [Includes: P-loop GTPase (EC 3.6.5.-) (G-protein chaperone); Isobutyryl-CoA mutase (ICM) (EC 5.4.99.13)]	[MISSING]
