ENTRY	CHEBI	NAME	STOICHIOMETRY	UNIPROT ANNOTATION
P42084	CHEBI:29105	Zn(2+)	1	Binds 1 zinc or iron ion per subunit.;
P42084	CHEBI:29033	Fe(2+)	0	Binds 1 zinc or iron ion per subunit.;
P54572	CHEBI:18420	Mg(2+)	1	Divalent metal cations. Prefers magnesium or manganese. {ECO:0000250};
P54572	CHEBI:29035	Mn(2+)	0	Divalent metal cations. Prefers magnesium or manganese. {ECO:0000250};
P45868	CHEBI:18420	Mg(2+)	1	Divalent metal cations. Prefers magnesium or manganese. {ECO:0000250};
P45868	CHEBI:29035	Mn(2+)	0	Divalent metal cations. Prefers magnesium or manganese. {ECO:0000250};
P17620	CHEBI:18420	Mg(2+)	2	Binds 2 divalent metal cations per subunit. Magnesium or manganese. {ECO:0000255|HAMAP-Rule:MF_01283};; 
P17620	CHEBI:29035	Mn(2+)	0	Binds 2 divalent metal cations per subunit. Magnesium or manganese. {ECO:0000255|HAMAP-Rule:MF_01283};; 
O34557	CHEBI:48828	Co(2+)	1	Binds 1 divalent metal cation per subunit. Active with Co(2+), Fe(2+), Mn(2+) and Zn(2+). {ECO:0000250};
O34557	CHEBI:29033	Fe(2+)	0	Binds 1 divalent metal cation per subunit. Active with Co(2+), Fe(2+), Mn(2+) and Zn(2+). {ECO:0000250};
O34557	CHEBI:29035	Mn(2+)	0	Binds 1 divalent metal cation per subunit. Active with Co(2+), Fe(2+), Mn(2+) and Zn(2+). {ECO:0000250};
O34557	CHEBI:29105	Zn(2+)	0	Binds 1 divalent metal cation per subunit. Active with Co(2+), Fe(2+), Mn(2+) and Zn(2+). {ECO:0000250};
P12039	CHEBI:18420	Mg(2+)	1	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};
P12039	CHEBI:29035	Mn(2+)	0	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};
P45694	CHEBI:18420	Mg(2+)	1	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250};; 
P45694	CHEBI:29108	Ca(2+)	0	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250};; 
P45694	CHEBI:29035	Mn(2+)	0	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250};; 
P45694	CHEBI:48828	Co(2+)	0	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250};; 
