ENTRY	CHEBI	NAME	STOICHIOMETRY	UNIPROT ANNOTATION
P31102	CHEBI:57540	NAD(+)	1.0	 Name=NAD(+); Xref=ChEBI:CHEBI:57540; Evidence={ECO:0000255|HAMAP-Rule:MF_00110}; ; 
P31102	CHEBI:48828	Co(2+)	1.0	Binds 1 divalent metal cation per subunit. Can use either Co(2+) or Zn(2+). {ECO:0000255|HAMAP-Rule:MF_00110};
P31102	CHEBI:29105	Zn(2+)	0.0	Binds 1 divalent metal cation per subunit. Can use either Co(2+) or Zn(2+). {ECO:0000255|HAMAP-Rule:MF_00110};
P23970	CHEBI:18420	Mg(2+)	1.0	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000255|HAMAP-Rule:MF_01659}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000255|HAMAP-Rule:MF_01659}; ; 
P23970	CHEBI:29035	Mn(2+)	0.0	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000255|HAMAP-Rule:MF_01659}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000255|HAMAP-Rule:MF_01659}; ; 
P23970	CHEBI:58937	thiamine diphosphate	1.0	Binds 1 thiamine pyrophosphate per subunit. {ECO:0000255|HAMAP-Rule:MF_01659};
P37564	CHEBI:28938	NH4(+)	1.0	Monovalent cations. Ammonium or potassium. {ECO:0000269|PubMed:16905099};
P37564	CHEBI:29103	K(+)	0.0	Monovalent cations. Ammonium or potassium. {ECO:0000269|PubMed:16905099};
O34962	CHEBI:18420	Mg(2+)	1.0	Divalent metal cations. Prefers magnesium or manganese. {ECO:0000250};
O34962	CHEBI:29035	Mn(2+)	0.0	Divalent metal cations. Prefers magnesium or manganese. {ECO:0000250};
P45694	CHEBI:18420	Mg(2+)	1.0	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250};; 
P45694	CHEBI:29108	Ca(2+)	0.0	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250};; 
P45694	CHEBI:29035	Mn(2+)	0.0	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250};; 
P45694	CHEBI:48828	Co(2+)	0.0	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250};; 
P45694	CHEBI:58937	thiamine diphosphate	1.0	Binds 1 thiamine pyrophosphate per subunit. {ECO:0000250};
O34557	CHEBI:48828	Co(2+)	1.0	Binds 1 divalent metal cation per subunit. Active with Co(2+), Fe(2+), Mn(2+) and Zn(2+). {ECO:0000250};
O34557	CHEBI:29033	Fe(2+)	0.0	Binds 1 divalent metal cation per subunit. Active with Co(2+), Fe(2+), Mn(2+) and Zn(2+). {ECO:0000250};
