Metabolite	Concentration
M_pc120	10
M_etha	10
M_pept	10
M_2dhglcn	10
M_Tek_28kd	10
M_chtn	10
M_thr_L	10
M_ins	10
M_im4ac	10
M_ptrc	10
M_galctn_D	10
M_PCW_L_Fucose	10
M_RipP2	10
M_mnl	10
M_g3ps	10
M_g3pi	10
M_lac_L	10
M_RSp0540	10
M_lac_D	10
M_g3pc	10
M_g3pe	10
M_g3pg	10
M_bz	10
M_pnto_R	10
M_12dgr140	10
M_br	10
M_cit	10
M_mn2	10
M_hexhslac	10
M_k	10
M_RSp1545	10
M_h	10
M_RSp1620	10
M_crn	10
M_ampi	10
M_mccdn	10
M_23cump	10
M_ind3ac	10
M_RSc0102_act	10
M_RipE1	10
M_isetac	10
M_naldx	10
M_pa160	10
M_Expansin	10
M_cafe	10
M_peroxyl_lpd	10
M_RSp1536	10
M_RSp1539	10
M_asp_L_gln_L	10
M_PCW_RSp0540_LPS	10
M_nh4	10
M_ctbt	10
M_dha	10
M_xylu_D	10
M_pc161	10
M_pc160	10
M_cellb	10
M_glcn	10
M_glcr	10
M_cbl1	10
M_cellos	10
M_etle	10
M_na1	10
M_galur	10
M_glc_D	10
M_12dgr181	10
M_doxrbcn	10
M_PCW_D_Mannose	10
M_EPS	10
M_lys_L	10
M_thm	10
M_RSc2149	10
M_PCW_RSp1071_LPS	10
M_selt	10
M_o2	10
M_RSc0104_act	10
M_Prot	10
M_r3rhbb	10
M_gthrd	10
M_ch4s	10
M_PCW_RSc0104_act	10
M_nac	10
M_RipS3	10
M_RipS2	10
M_RipS1	10
M_gln_L	10
M_RipS6	10
M_RipS5	10
M_RipS4	10
M_taur	10
M_ala_L_gln_L	10
M_asp_L_asp_L	10
M_co2	10
M_RSc0246_act	10
M_hpa	10
M_fum	10
M_RSp0295	10
M_RSp0294	10
M_no2r	10
M_RipG5	10
M_glyc	10
M_RipG2	10
M_so4	10
M_RipTAL	10
M_RSp0275	10
M_RipAF1	10
M_octa	10
M_cellos_Expansin_LPS	10
M_berb	10
M_acglu	10
M_galct_D	10
M_RipH2	10
M_RipH3	10
M_RipH1	10
M_cm	10
M_cl	10
M_glcur	10
M_no3	10
M_hepthslac	10
M_cu	10
M_PS_PGA	10
M_lpd_lpd	10
M_meoh	10
M_h2o2	10
M_ala_L_glu_L	10
M_pa120	10
M_bromosucc	10
M_RipA5	10
M_RipA4	10
M_RipA1	10
M_RipA3	10
M_4abut	10
M_RipAM	10
M_RipAL	10
M_RipAO	10
M_RipAN	10
M_RipAI	10
M_RipAH	10
M_RipAK	10
M_RipAJ	10
M_RipAE	10
M_RipAD	10
M_RipAG	10
M_RipAA	10
M_RipAC	10
M_RipAB	10
M_2obut	10
M_PCW	10
M_RipAY	10
M_RipO1	10
M_34dhphe	10
M_RipAU	10
M_RipAT	10
M_RipAW	10
M_RipAV	10
M_RipAQ	10
M_RipAP	10
M_RipAS	10
M_RipAR	10
M_but	10
M_val_L	10
M_fru	10
M_bhb	10
M_hslac	10
M_12dgr141	10
M_melanin	10
M_RSc3188	10
M_PglA	10
M_met_L	10
M_RipAZ1	10
M_ocdcea	10
M_23cgmp	10
M_RSp0881	10
M_mesucc	10
M_resoc	10
M_RipV1	10
M_23ccmp	10
M_dextrin	10
M_RSc0249_act	10
M_ni2	10
M_RSp1444	10
M_cu2	10
M_RSc3430	10
M_ampica	10
M_RSp0030	10
M_ethso3	10
M_2hyoxplac	10
M_hphead	10
M_gly	10
M_cys_L	10
M_PCW_L_Fucose_Rsl	10
M_glyc3p	10
M_succ	10
M_ca2_	10
M_PCW_RSp0295_act	10
M_ttrcyc	10
M_sucr	10
M_pad	10
M_RSc3151	10
M_pac	10
M_orn	10
M_PCW_D_Mannose_Rsl2	10
M_indpyr	10
M_quin_kt	10
M_cro4	10
M_mincyc	10
M_o2s	10
M_DNAf_30kb	10
M_RSp0518	10
M_gthox	10
M_ala_L_asp_L	10
M_PCW_RSc0249_act	10
M_catechol	10
M_aso3	10
M_spmd	10
M_aso4	10
M_galur3u	10
M_fald	10
M_RipAX2	10
M_RSp0768	10
M_mal_L	10
M_gln_L_glu_L	10
M_cytd	10
M_pbhb	10
M_ttdca	10
M_glu_D	10
M_chol	10
M_glu_L	10
M_acon_C	10
M_PCW_RSp1545_LPS	10
M_gln_L_gly	10
M_sulfac	10
M_xtsn	10
M_PCW_RSp0294_act	10
M_incbase	10
M_PCW_RSp1073_LPS	10
M_PCW_RSc0102_act	10
M_PCW_RSp1539_LPS	10
M_pa181	10
M_pa180	10
M_RipG7	10
M_3oocta	10
M_glyb	10
M_RipG4	10
M_RipG3	10
M_gal	10
M_RipG1	10
M_frmd	10
M_RSc0337	10
M_his_L	10
M_met_L_ala_L	10
M_acpc	10
M_Pme	10
M_2feooh	10
M_5mtr	10
M_ohr	10
M_pencil	10
M_pc141	10
M_pc140	10
M_arbtnl	10
M_cbi	10
M_glycogen	10
M_gsn	10
M_PCW_RSc0246_act	10
M_hdcea	10
M_pencilca	10
M_ralf	10
M_fecrm_un	10
M_pa161	10
M_RSp0295_act	10
M_asn_L	10
M_chitos	10
M_mso3	10
M_PehC	10
M_PehB	10
M_fusa	10
M_citr_L	10
M_3oochslac	10
M_orot	10
M_uri	10
M_glyc2p	10
M_Egl	10
M_RSp0630	10
M_acfv	10
M_RipU2	10
M_pect	10
M_3hpppn	10
M_pyr	10
M_tsul	10
M_5oxpro	10
M_glyc_R	10
M_adocbl	10
M_zn2	10
M_fe3mccdn	10
M_hg2	10
M_pa141	10
M_pa140	10
M_hxa	10
M_ppa	10
M_chtbs	10
M_asp_L	10
M_RSp0294_act	10
M_RipR	10
M_mobd	10
M_acser	10
M_dcahslac	10
M_akg	10
M_idon_L	10
M_RipA2	10
M_trp_L	10
M_Tek2_28kd	10
M_asp_L_glu_L	10
M_pc181	10
M_pc180	10
M_RSp1071	10
M_RSc0249	10
M_RSp1073	10
M_PCW_RSp1180_act_pili	10
M_fe2	10
M_fe3	10
M_PS_RS	10
M_RSc0246	10
M_RipC1	10
M_ocdca	10
M_ag	10
M_ac	10
M_12dgr161	10
M_12dgr160	10
M_amob	10
M_asp_L_val_L	10
