ENTRY	STOICHIOMETRY	GENE NAMES	PROTEIN NAME	UNIPROT NOTE
P08064	1.0	sdhC BSU28450	Succinate dehydrogenase cytochrome b558 subunit (Cytochrome b-558)	SUBUNIT: Part of an enzyme complex containing three subunits: a flavoprotein, an iron-sulfur protein and cytochrome b-558.
P16440	1.0	ribE ribB BSU23270	Riboflavin synthase (RS) (EC 2.5.1.9) (Heavy riboflavin synthase alpha subunit) (HRS alpha subunit) (Light riboflavin synthase)	SUBUNIT: Homotrimer. Can interact with 6,7-dimethyl-8-ribityllumazine synthase, forming a lumazine synthase/riboflavin synthase complex, also designated as 'heavy riboflavin synthase complex', which consists of a trimer of riboflavin synthase enclosed within an icosahedral structure composed of 60 subunits of 6,7-dimethyl-8-ribityllumazine synthase. {ECO:0000269|PubMed:2106516, ECO:0000269|PubMed:3083108, ECO:0000269|PubMed:6766130}.
O34329	1.0	ctaG BSU14930	Protein CtaG	[MISSING]
P94584	1.0	fabZ ywpB BSU36370	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (Beta-hydroxyacyl-ACP dehydratase)	[MISSING]
P25503	1.0	hutU BSU39360 EE57A	Urocanate hydratase (Urocanase) (EC 4.2.1.49) (Imidazolonepropionate hydrolase)	[MISSING]
P94523	1.0	araA BSU28800	L-arabinose isomerase (EC 5.3.1.4)	[MISSING]
P39595	1.0	efeU ywbL BSU38280 ipa-27d	Ferrous iron permease EfeU (Fe(2+) ion permease EfeU) (Ferrous iron uptake protein)	SUBUNIT: Part of a ferrous iron transporter composed of EfeU, EfeM and EfeN. {ECO:0000250}.
P25993	1.0	pyrAA BSU15510	Carbamoyl-phosphate synthase pyrimidine-specific small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	SUBUNIT: Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate.
O05507	1.0	gmuC ydhO BSU05830	PTS system oligo-beta-mannoside-specific EIIC component (Glucomannan utilization protein C) (Oligo-beta-mannoside permease IIC component)	[MISSING]
P54536	1.0	artQ yqiY BSU23970	Arginine transport system permease protein ArtQ	[MISSING]
P39138	1.0	rocF BSU40320	Arginase (EC 3.5.3.1)	[MISSING]
P31102	1.0	aroB BSU22700	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	[MISSING]
