ENTRY	STOICHIOMETRY	GENE NAMES	PROTEIN NAME	UNIPROT NOTE
P08064	1	sdhC BSU28450	Succinate dehydrogenase cytochrome b558 subunit (Cytochrome b-558)	SUBUNIT: Part of an enzyme complex containing three subunits: a flavoprotein, an iron-sulfur protein and cytochrome b-558.
O34399	4	gltB BSU18440	Glutamate synthase [NADPH] small chain (EC 1.4.1.13) (NADPH-GOGAT)	SUBUNIT: Aggregate of 4 catalytic active heterodimers, consisting of a large and a small subunit. {ECO:0000250}.
P08066	1	sdhB BSU28430	Succinate dehydrogenase iron-sulfur subunit (EC 1.3.5.1)	SUBUNIT: In B.subtilis succinate dehydrogenase forms part of an enzyme complex containing three subunits: a flavoprotein, an iron-sulfur protein and cytochrome b-558.
P42200	2	tcyB yckJ BSU03600	L-cystine transport system permease protein TcyB	SUBUNIT: The complex is composed of two ATP-binding proteins (TcyC), two transmembrane proteins (TcyB) and a solute-binding protein (TcyA). {ECO:0000305}.
P70998	2	speE ywhF BSU37500	Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16)	SUBUNIT: Homodimer or homotetramer. {ECO:0000255|HAMAP-Rule:MF_00198, ECO:0000269|Ref.4}.
P21883	24	pdhC aceC BSU14600	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (E2) (S complex, 48 kDa subunit)	SUBUNIT: Forms a 24-polypeptide structural core with octahedral symmetry.
P28819	1	pabA trpG BSU00750	Aminodeoxychorismate/anthranilate synthase component 2 (ADC synthase) (ADCS) (EC 2.6.1.85) (EC 4.1.3.27) (4-amino-4-deoxychorismate synthase component 2) (Aminodeoxychorismate synthase, glutamine amidotransferase component)	SUBUNIT: Monomer. Heterodimer consisting of two non-identical subunits: a glutamine amidotransferase subunit (PabA) and a aminodeoxychorismate synthase subunit (PabB) (By similarity). {ECO:0000250}.
P40411	2	feuC BSU01610	Iron-uptake system permease protein FeuC	SUBUNIT: The complex is composed of one ATP-binding protein (YusV), two transmembrane proteins (FeuB and FeuC) and a solute-binding protein (FeuA). {ECO:0000305}.
P71035	1	ureB BSU36650	Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta)	SUBUNIT: Heterotrimer of UreA (gamma), UreB (beta) and UreC (alpha) subunits. Three heterotrimers associate to form the active enzyme. {ECO:0000255|HAMAP-Rule:MF_01954}.
P12425	12	glnA BSU17460	Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I alpha) (GSI alpha)	SUBUNIT: Oligomer of 12 subunits arranged in the form of two hexagons. In its feedback-inhibited form, interacts with TnrA in order to block its DNA-binding activity. This inhibitory effect is the highest when both glutamine and AMP are present. {ECO:0000269|PubMed:11719184, ECO:0000269|PubMed:24158439, ECO:0000269|PubMed:25691471}.
O34610	2	znuB adcB yceA BSU02870	High-affinity zinc uptake system membrane protein ZnuB	SUBUNIT: The complex is composed of two ATP-binding proteins (ZnuC), two transmembrane proteins (ZnuB) and a solute-binding protein (ZnuA). {ECO:0000305}.
P54378	1	gcvT yqhI BSU24570	Aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein)	SUBUNIT: The glycine cleavage system is composed of four proteins: P, T, L and H. {ECO:0000255|HAMAP-Rule:MF_00259}.
O32167	1	metQ yusA BSU32730	Methionine-binding lipoprotein MetQ	SUBUNIT: The complex is composed of two ATP-binding proteins (MetN), two transmembrane proteins (MetP) and a solute-binding protein (metQ). {ECO:0000250}.
P08065	1	sdhA citF BSU28440	Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1)	SUBUNIT: In B.subtilis succinate dehydrogenase forms part of an enzyme complex containing three subunits: a flavoprotein, an iron-sulfur protein and cytochrome b-558.
O32169	2	metN yusC BSU32750	Methionine import ATP-binding protein MetN (EC 3.6.3.-)	SUBUNIT: The complex is composed of two ATP-binding proteins (MetN), two transmembrane proteins (MetP) and a solute-binding protein (MetQ). {ECO:0000305}.
O32168	2	metP yusB BSU32740	Methionine import system permease protein MetP	SUBUNIT: The complex is composed of two ATP-binding proteins (MetN), two transmembrane proteins (MetP) and a solute-binding protein (MetQ). {ECO:0000250}.
P14193	6	prs BSU00510	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PPRibP synthase) (PRPP synthase) (PRPPase)	SUBUNIT: Homohexamer or homooctamer. {ECO:0000269|PubMed:10742175, ECO:0000269|PubMed:11790837, ECO:0000269|PubMed:2169413}.
