ENTRY	GENE NAME	NAME	LOCATION
A0A1P8BDR1	FUM2 FUMARASE 2 At5g50950 K3K7.11 K3K7_11	FUMARASE 2	[MISSING]
A0A1P8B0M1	THY-1 thymidylate synthase 1 At2g16370 F16F14.13 F16F14_13	Thymidylate synthase 1	[MISSING]
A8MQY4	CA2 BETA CA2 BETA CARBONIC ANHYDRASE 2 CA18 CARBONIC ANHYDRASE 18 CARBONIC ANHYDRASE 2 carbonic anhydrase 2 At5g14740 T9L3.40 T9L3_40	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)	[MISSING]
A0A1P8AQR2	SULTR1;2 SEL1 SELENATE RESISTANT 1 SULFATE TRANSPORTER sulfate transporter 1;2 At1g78000 F28K19.22 F28K19_22	Sulfate transporter 12	[MISSING]
A0A1I9LQ97	4CL5 4-coumarate:CoA ligase 5 At3g21230	4-coumarate:CoA ligase 5	[MISSING]
A0A1I9LQ96	4CL5 4-coumarate:CoA ligase 5 At3g21230	4-coumarate:CoA ligase 5	[MISSING]
A0A1I9LQ95	4CL5 4-coumarate:CoA ligase 5 At3g21230	4-coumarate:CoA ligase 5	[MISSING]
A0A1P8B4M0	At4g17360 Dl4715c FCAALL.417	Formyl transferase	[MISSING]
Q9LYR4	TRA2 transaldolase 2 At5g13420 T22N19.70 T22N19_70	Aldolase-type TIM barrel family protein (Putative transaldolase) (Transaldolase-like protein)	[MISSING]
Q94BY2	At1g65820 F1E22.17 F1E22_17	At1g65820/F1E22_4 (Glutathione-s-transferase, putative) (MAPEG-like protein) (Microsomal glutathione s-transferase)	[MISSING]
A0A1I9LTN9	At3g02620 F16B3.25 F16B3_25	Plant stearoyl-acyl-carrier-protein desaturase family protein	[MISSING]
Q56X60	At5g65690	Phosphoenolpyruvate carboxykinase (Fragment)	[MISSING]
Q0WWM2	At4g26970	Aconitase like protein (Fragment)	[MISSING]
Q9SAH9	CCR2 At1g80820 F23A5.17	Cinnamoyl-CoA reductase 2 (AtCCR2) (EC 1.2.1.44)	[MISSING]
Q0WUI8	At5g54810	Tryptophan synthase (EC 4.2.1.20)	[MISSING]
Q56YT4	At2g38380	Peroxidase like protein (Fragment)	[MISSING]
F4I9T8	4CL3 4-COUMARATE:COA LIGASE 4-coumarate:CoA ligase 3 At1g65060 F16G16.6 F16G16_6	4-coumarate:CoA ligase 3	[MISSING]
Q43314	GDH1 At5g18170 MRG7.13	Glutamate dehydrogenase 1 (GDH 1) (EC 1.4.1.3)	[MISSING]
