ENTRY	STOICHIOMETRY	GENE NAMES	PROTEIN NAME	UNIPROT NOTE
P19456	[MISSING]	AHA2 At4g30190 F9N11.40	ATPase 2, plasma membrane-type (EC 3.6.3.6) (Proton pump 2)	SUBUNIT: Binds to 14-3-3 proteins (PubMed:10593986). The binding is induced by phosphorylation of Thr-947 and it activates the H(+)-ATPase (PubMed:10593986). Interacts (via the R-domain) with PSY1R (via C-terminus) (PubMed:25267325). Part of a functional complex containing PSKR1, BAK1, CNGC17, and AHA (PubMed:26071421). Interacts with CNGC17 and PSKR1 (PubMed:26071421). {ECO:0000269|PubMed:10593986, ECO:0000269|PubMed:25267325, ECO:0000269|PubMed:26071421}.
Q9FUG4	[MISSING]	XPB2 At5g41360 MYC6.7	DNA repair helicase XPB2 (EC 3.6.4.12) (ERCC3 homolog 2) (RAD25 homolog 2) (AtXPB2) (XPB homolog 2)	SUBUNIT: Component of the TFIIH core complex, which is composed of 7 subunits, XPD, XPB, TFB1/GTF2H1, GTF2H2/P44, TFB4/GTF2H3, TFB2/GTF2H4 and TFB5/GTF2H5. {ECO:0000305|PubMed:15645454}.
Q9LHA4	[MISSING]	VHA-d2 At3g28715 MZN14.22	V-type proton ATPase subunit d2 (V-ATPase subunit d2) (Vacuolar H(+)-ATPase subunit d isoform 2) (Vacuolar proton pump subunit d2)	SUBUNIT: V-ATPase is a heteromultimeric enzyme composed of a peripheral catalytic V1 complex (components A to H) attached to an integral membrane V0 proton pore complex (components: a, c, c'', d and e).
Q940H6	[MISSING]	SRK2E OST1 SNRK2.6 At4g33950 F17I5.140	Serine/threonine-protein kinase SRK2E (EC 2.7.11.1) (Protein OPEN STOMATA 1) (SNF1-related kinase 2.6) (SnRK2.6) (Serine/threonine-protein kinase OST1)	SUBUNIT: Interacts with ABI1, PP2CA and SLAC1 (PubMed:16365038, PubMed:19874541, PubMed:19955405, PubMed:19955427). Interacts with B'ALPHA, B'BETA, B'DELTA, PP2AA2, PP2AA3, PP2A1 and PP2A2 (PubMed:26175513). {ECO:0000269|PubMed:16365038, ECO:0000269|PubMed:19874541, ECO:0000269|PubMed:19955405, ECO:0000269|PubMed:19955427, ECO:0000269|PubMed:26175513}.
Q9C7W7	[MISSING]	UGE4 REB1 RHD1 At1g64440 F15H21.11 F1N19.2	UDP-glucose 4-epimerase 4 (AtUGE4) (EC 5.1.3.2) (Protein ROOT EPIDERMAL BULGER 1) (Protein ROOT HAIR DEFECTIVE 1) (UDP-galactose 4-epimerase 4)	SUBUNIT: homodimer. Heterodimer. {ECO:0000269|PubMed:16644739}.
Q9SJT7	[MISSING]	VHA-a2 At2g21410 F3K23.17	V-type proton ATPase subunit a2 (V-ATPase subunit a2) (V-type proton ATPase 95 kDa subunit a isoform 2) (V-ATPase 95 kDa isoform a2) (Vacuolar H(+)-ATPase subunit a isoform 2) (Vacuolar proton pump subunit a2) (Vacuolar proton translocating ATPase 95 kDa subunit a isoform 2)	SUBUNIT: V-ATPase is a heteromultimeric enzyme composed of a peripheral catalytic V1 complex (components A to H) attached to an integral membrane V0 proton pore complex (components: a, c, c'', d and e). {ECO:0000250}.
Q9SCS2	[MISSING]	CRK5 CaMK1 At3g50530 T20E23.130	CDPK-related kinase 5 (AtCRK5) (EC 2.7.11.1) (Calcium/calmodulin-dependent protein kinase 1)	SUBUNIT: Binds calmodulin (CaM) in a calcium-dependent manner. {ECO:0000250}.
P50651	[MISSING]	RNR2A RNR2 At3g23580 MDB19.6	Ribonucleoside-diphosphate reductase small chain A (EC 1.17.4.1) (Ribonucleoside-diphosphate reductase R2A subunit) (AtRNR2) (Protein R2at) (Ribonucleotide reductase small subunit A)	SUBUNIT: Homodimer and heterodimer with TSO2. Heterotetramer of two R1 and two R2 chains. A radical transfer pathway may occur between Tyr-125 of protein R2 and R1. Homodimer contains a dinuclear non-heme iron center and a stable tyrosyl radical essential for activity. A transfer pathway may occur between Tyr-125 of protein R2 and R1. Interacts with CSN7. {ECO:0000269|PubMed:21614643, ECO:0000269|Ref.5}.
Q9SH30	[MISSING]	HMA5 At1g63440 F2K11.18	Probable copper-transporting ATPase HMA5 (EC 3.6.3.54) (Probable copper-transporting ATPase 3) (Protein HEAVY METAL ATPASE 5)	SUBUNIT: Interacts with ATX1. {ECO:0000269|PubMed:16367966}.
Q84JL2	[MISSING]	At5g09300 T5E8_100	2-oxoisovalerate dehydrogenase subunit alpha 2, mitochondrial (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain) (BCKDE1A) (BCKDH E1-alpha)	SUBUNIT: Heterotetramer of alpha and beta chains. {ECO:0000250}.
