ENTRY	CHEBI	NAME	STOICHIOMETRY	UNIPROT ANNOTATION
Q15KI9	CHEBI:18420	Mg(2+)	1	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; ; 
Q15KI9	CHEBI:29035	Mn(2+)	0	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; ; 
Q9LUT2	CHEBI:29035	Mn(2+)	2	Binds 2 divalent ions per subunit. The metal ions interact primarily with the substrate (By similarity). Can utilize magnesium, manganese or cobalt (in vitro) (By similarity). {ECO:0000250|UniProtKB:P13444, ECO:0000250|UniProtKB:Q96551};; 
Q9LUT2	CHEBI:18420	Mg(2+)	0	Binds 2 divalent ions per subunit. The metal ions interact primarily with the substrate (By similarity). Can utilize magnesium, manganese or cobalt (in vitro) (By similarity). {ECO:0000250|UniProtKB:P13444, ECO:0000250|UniProtKB:Q96551};; 
Q9LUT2	CHEBI:48828	Co(2+)	0	Binds 2 divalent ions per subunit. The metal ions interact primarily with the substrate (By similarity). Can utilize magnesium, manganese or cobalt (in vitro) (By similarity). {ECO:0000250|UniProtKB:P13444, ECO:0000250|UniProtKB:Q96551};; 
Q6NLQ7	CHEBI:18420	Mg(2+)	2	Binds 2 divalent metal cations per subunit. Magnesium or manganese. {ECO:0000250};
Q6NLQ7	CHEBI:29035	Mn(2+)	0	Binds 2 divalent metal cations per subunit. Magnesium or manganese. {ECO:0000250};
B3H5Y0	[MISSING]	[MISSING]	1	Binds 1 [4Fe-4S] cluster per subunit. {ECO:0000256|RuleBase:RU361275};
P93832	CHEBI:18420	Mg(2+)	1	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};
P93832	CHEBI:29035	Mn(2+)	0	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};
Q8GXH6	CHEBI:18420	Mg(2+)	1	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000256|RuleBase:RU004445};
Q8GXH6	CHEBI:29035	Mn(2+)	0	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000256|RuleBase:RU004445};
Q9M2B9	CHEBI:79027	L-topaquinone	1	Contains 1 topaquinone per subunit. {ECO:0000256|RuleBase:RU000672};; 
Q9M2B9	CHEBI:23378	Cu cation	0	Contains 1 topaquinone per subunit. {ECO:0000256|RuleBase:RU000672};; 
P0DI77	CHEBI:18420	Mg(2+)	3	Binds 3 Mg(2+) or Mn(2+) ions per subunit. {ECO:0000250};
P0DI77	CHEBI:29035	Mn(2+)	0	Binds 3 Mg(2+) or Mn(2+) ions per subunit. {ECO:0000250};
Q8LBA6	CHEBI:18420	Mg(2+)	1	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:10411624, ECO:0000269|PubMed:10809447}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000269|PubMed:10411624, ECO:0000269|PubMed:10809447}; 
Q8LBA6	CHEBI:29035	Mn(2+)	0	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:10411624, ECO:0000269|PubMed:10809447}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000269|PubMed:10411624, ECO:0000269|PubMed:10809447}; 
Q9FT73	CHEBI:18420	Mg(2+)	1	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:18419780}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000269|PubMed:18419780}; 
Q9FT73	CHEBI:29035	Mn(2+)	0	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:18419780}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000269|PubMed:18419780}; 
Q8L968	CHEBI:18420	Mg(2+)	1	Binds 1 divalent metal cation per subunit; can use either Mg(2+) or Mn(2+). {ECO:0000255|HAMAP-Rule:MF_03148};
Q8L968	CHEBI:29035	Mn(2+)	0	Binds 1 divalent metal cation per subunit; can use either Mg(2+) or Mn(2+). {ECO:0000255|HAMAP-Rule:MF_03148};
Q8LPJ5	CHEBI:18420	Mg(2+)	1	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};
Q8LPJ5	CHEBI:29035	Mn(2+)	0	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};
Q9SJL8	CHEBI:29035	Mn(2+)	2	Binds 2 divalent ions per subunit. The metal ions interact primarily with the substrate (By similarity). Can utilize magnesium, manganese or cobalt (in vitro) (By similarity). {ECO:0000250|UniProtKB:P13444, ECO:0000250|UniProtKB:Q96551};; 
Q9SJL8	CHEBI:18420	Mg(2+)	0	Binds 2 divalent ions per subunit. The metal ions interact primarily with the substrate (By similarity). Can utilize magnesium, manganese or cobalt (in vitro) (By similarity). {ECO:0000250|UniProtKB:P13444, ECO:0000250|UniProtKB:Q96551};; 
Q9SJL8	CHEBI:48828	Co(2+)	0	Binds 2 divalent ions per subunit. The metal ions interact primarily with the substrate (By similarity). Can utilize magnesium, manganese or cobalt (in vitro) (By similarity). {ECO:0000250|UniProtKB:P13444, ECO:0000250|UniProtKB:Q96551};; 
Q56W61	CHEBI:79027	L-topaquinone	1	Contains 1 topaquinone per subunit. {ECO:0000256|RuleBase:RU000672};; 
Q56W61	CHEBI:23378	Cu cation	0	Contains 1 topaquinone per subunit. {ECO:0000256|RuleBase:RU000672};; 
F4IW47	CHEBI:18420	Mg(2+)	1	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250};; 
F4IW47	CHEBI:29108	Ca(2+)	0	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250};; 
F4IW47	CHEBI:29035	Mn(2+)	0	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250};; 
F4IW47	CHEBI:48828	Co(2+)	0	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250};; 
O65688	CHEBI:18420	Mg(2+)	1	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P53799}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250|UniProtKB:P53799}; 
