ENTRY	GENE NAME	NAME	LOCATION
G9B9K7	At1g17260	Plasma membrane ATPase (EC 3.6.3.6) (Fragment)	Cytoplasm
Q39103	GA3OX1 GA4 At1g15550 T16N11.6	Gibberellin 3-beta-dioxygenase 1 (EC 1.14.11.15) (GA 3-oxidase 1) (AtGA3ox1) (Gibberellin 3 beta-hydroxylase 1)	Cytoplasm
W8Q2W3	AT4G38240	Glycosyltransferase (Fragment)	Cytoplasm
Q0WUG9	At5g63310	Nucleoside diphosphate kinase (EC 2.7.4.6)	Cytoplasm
A0A1P8APT9	ASP4 ASPARTATE AMINOTRANSFERASE 4 aspartate aminotransferase 4 At1g62800 F23N19.17 F23N19_17	Aspartate aminotransferase 4	Cytoplasm
B3H6D7	FBA6 At2g36460 F1O11.9 F1O11_9	Fructose-bisphosphate aldolase (EC 4.1.2.13)	Cytoplasm
Q0WLA3	At2g19110	Putative heavy metal transporter (Fragment)	Cytoplasm
Q9LUB2	MIF21.11 MIF21_11 At5g48220	AT5g48220/MIF21_11 (Aldolase-type TIM barrel family protein) (Indole-3-glycerol phosphate synthase)	Cytoplasm
A0A1I9LLI2	ILR1 IAA-AMINO ACID HYDROLASE IAA-LEUCINE RESISTANT 1 At3g02875 F13E7.18 F13E7_18	Peptidase M20/M25/M40 family protein	Cytoplasm
B9DHH5	At1g10070	Branched-chain-amino-acid aminotransferase (EC 2.6.1.42)	Cytoplasm
Q0WLJ5	At5g47560	Sodium-dicarboxylate cotransporter-like (Fragment)	Cytoplasm
A0A1P8B0W4	PLDBETA1 PHOSPHOLIPASE D phospholipase D beta 1 PLDBETA At2g42010 T6D20.10 T6D20_10	Phospholipase D beta 1	Cytoplasm
Q9SPK5	THFS At1g50480 F11F12.17 F17J6.2	Formate--tetrahydrofolate ligase (EC 6.3.4.3) (10-formyletrahydrofolate synthetase) (FHS) (FTHFS) (Formyltetrahydrofolate synthetase)	Cytoplasm
Q9SF23	FOLB1 At3g11750 F26K24.4	Dihydroneopterin aldolase 1 (DHNA1) (EC 4.1.2.25) (7,8-dihydroneopterin aldolase) (AtFolB1)	Cytoplasm
A8MSF6	PIP1C PIP1;3 TMP-B At1g01620 F22L4.16 F22L4_16	Plasma membrane intrinsic protein 1C	Cytoplasm
W8PUE7	AT5G17050	Glycosyltransferase (EC 2.4.1.-) (Fragment)	Cytoplasm
A0A1P8AXT8	ACA4 ''autoinhibited Ca(2+)-ATPase autoinhibited Ca(2+)-ATPase isoform 4 isoform 4'' At2g41560 T32G6.8 T32G6_8	Autoinhibited Ca(2+)-ATPase, isoform 4	Cytoplasm
A0A1P8BCS8	FHIT FRAGILE HISTIDINE TRIAD MCK7.11 MCK7_11 At5g58240	FRAGILE HISTIDINE TRIAD	Cytoplasm
A0A1P8AUM8	IMD3 ATIMD3 IPMDH1 At1g31180 F28K20.14 F28K20_14	Isopropylmalate dehydrogenase 3	Cytoplasm
C8C9X3	CalS5 At2g13680	Callose synthase 5 (EC 2.4.1.34)	Cytoplasm
A0A1P8BFG5	MXI22.8 MXI22_8 At5g50370	Adenylate kinase family protein	Cytoplasm
Q0WVA3	At1g12840	V-type proton ATPase subunit C (Fragment)	Cytoplasm
Q147P9	At5g10050 T31P16.40 T31P16_40	At5g10050 (NAD(P)-binding Rossmann-fold superfamily protein)	Cytoplasm
A0A1P8B8Z4	APT4 At4g12440 T1P17.30 T1P17_30	Adenine phosphoribosyl transferase 4	Cytoplasm
Q9SLG9	PIP5K5 At2g41210 T3K9.2	Phosphatidylinositol 4-phosphate 5-kinase 5 (AtPIP5K5) (EC 2.7.1.68) (1-phosphatidylinositol 4-phosphate kinase 5) (Diphosphoinositide kinase 5) (PtdIns(4)P-5-kinase 5)	Cytoplasm
