ENTRY	GENE NAME	NAME	LOCATION
P16440	ribE ribB BSU23270	Riboflavin synthase (RS) (EC 2.5.1.9) (Heavy riboflavin synthase alpha subunit) (HRS alpha subunit) (Light riboflavin synthase)	Cytoplasm
P37529	dck dak yaaF BSU00140	Deoxyadenosine/deoxycytidine kinase (dAK/dCK) (EC 2.7.1.74) (EC 2.7.1.76)	Cytoplasm
P94523	araA BSU28800	L-arabinose isomerase (EC 5.3.1.4)	Cytoplasm
P25993	pyrAA BSU15510	Carbamoyl-phosphate synthase pyrimidine-specific small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	Cytoplasm
P39138	rocF BSU40320	Arginase (EC 3.5.3.1)	Cytoplasm
P23970	menD BSU30820	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase (SEPHCHC synthase) (EC 2.2.1.9) (Menaquinone biosynthesis protein MenD)	Cytoplasm
P26899	ansB BSU23570	Aspartate ammonia-lyase (Aspartase) (EC 4.3.1.1)	Cytoplasm
P03963	trpE BSU22680	Anthranilate synthase component 1 (AS) (ASI) (EC 4.1.3.27)	Cytoplasm
P39142	pdp BSU39400	Pyrimidine-nucleoside phosphorylase (PYNP) (Py-NPase) (EC 2.4.2.2)	Cytoplasm
P13242	pyrG ctrA BSU37150	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	Cytoplasm
P19406	phoA phoAIV BSU09410	Alkaline phosphatase 4 (EC 3.1.3.1) (Alkaline phosphatase IV) (APase IV)	Cytoplasm
O31617	thiS yjbS BSU11680	Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS)	Cytoplasm
P37941	bfmBAB bfmB1b BSU24040	2-oxoisovalerate dehydrogenase subunit beta (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component beta chain) (BCKDH E1-beta)	Cytoplasm
O31777	kbl BSU17000	8-amino-7-oxononanoate synthase 1 (AONS) (EC 2.3.1.47) (7-keto-8-amino-pelargonic acid synthase) (7-KAP synthase) (KAPA synthase) (8-amino-7-ketopelargonate synthase) (Alpha-oxoamine synthase)	Cytoplasm
O34635	sdaAB yloW BSU15850	Probable L-serine dehydratase, beta chain (SDH) (EC 4.3.1.17) (L-serine deaminase) (L-SD)	Cytoplasm
O34962	ytsJ BSU29220	Probable NAD-dependent malic enzyme 4 (NAD-ME 4) (EC 1.1.1.38)	Cytoplasm
P37550	ispE ipk yabH BSU00460	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)	Cytoplasm
P29727	guaA BSU06360	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	Cytoplasm
O32146	pucB yurE BSU32500	Purine catabolism protein PucB	Cytoplasm
P37946	ilvA BSU21770	L-threonine dehydratase biosynthetic IlvA (EC 4.3.1.19) (Threonine deaminase)	Cytoplasm
P03947	trpD BSU22670	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	Cytoplasm
P53556	bioF BSU30220	8-amino-7-oxononanoate synthase 2 (AONS) (EC 2.3.1.47) (7-keto-8-amino-pelargonic acid synthase) (7-KAP synthase) (8-amino-7-ketopelargonate synthase)	Cytoplasm
O34607	sdaAA ylpA BSU15860	Probable L-serine dehydratase, alpha chain (SDH) (EC 4.3.1.17) (L-serine deaminase) (L-SD)	Cytoplasm
P71019	fabD ylpE BSU15900	Malonyl CoA-acyl carrier protein transacylase (MCT) (EC 2.3.1.39)	Cytoplasm
P11045	dfrA BSU21810	Dihydrofolate reductase (EC 1.5.1.3)	Cytoplasm
O34911	ykoF BSU13240	Putative HMP/thiamine-binding protein YkoF	Cytoplasm
O31717	ykpB BSU14440	Uncharacterized oxidoreductase YkpB (EC 1.1.1.-)	Cytoplasm
P45743	dhbB BSU31970	Isochorismatase (EC 3.3.2.1) (2,3 dihydro-2,3 dihydroxybenzoate synthase) (Superoxide-inducible protein 1) (SOI1)	Cytoplasm
O34340	fabF yjaY BSU11340	3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179) (3-oxoacyl-[acyl-carrier-protein] synthase II) (Beta-ketoacyl-ACP synthase II) (KAS II)	Cytoplasm
O32117	yutJ BSU32200	NADH dehydrogenase-like protein YutJ (EC 1.6.-.-)	Cytoplasm
P49787	accC1 accC yqhX BSU24340	Biotin carboxylase 1 (EC 6.3.4.14) (Acetyl-CoA carboxylase subunit A 1) (ACC 1) (EC 6.4.1.2)	Cytoplasm
Q04777	alsD BSU36000	Alpha-acetolactate decarboxylase (EC 4.1.1.5)	Cytoplasm
O34591	acoB yfjJ BSU08070	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta (Acetoin:DCPIP oxidoreductase-beta) (Ao:DCPIP OR) (EC 1.1.1.-) (TPP-dependent acetoin dehydrogenase E1 subunit beta)	Cytoplasm
O35000	nagB BSU35020	Glucosamine-6-phosphate deaminase 1 (EC 3.5.99.6) (GlcN6P deaminase 1) (GNPDA 1) (Glucosamine-6-phosphate isomerase 1)	Cytoplasm
P27620	tagA BSU35750	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase (EC 2.4.1.187) (Major teichoic acid biosynthesis protein A) (N-acetylmannosaminyltransferase) (UDP-N-acetylmannosamine transferase) (UDP-N-acetylmannosamine:N-acetylglucosaminyl pyrophosphorylundecaprenol N-acetylmannosaminyltransferase)	Cytoplasm
P80885	pyk pykA BSU29180	Pyruvate kinase (PK) (EC 2.7.1.40) (Vegetative protein 17) (VEG17)	Cytoplasm
P45694	tkt tktA BSU17890	Transketolase (TK) (EC 2.2.1.1)	Cytoplasm
P16618	hemA BSU28170	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)	Cytoplasm
P42434	nasC narB nasBB BSU03310	Assimilatory nitrate reductase catalytic subunit (EC 1.7.99.4)	Cytoplasm
O32143	pucE yurB BSU32470	Probable xanthine dehydrogenase subunit E (XDHase subunit E) (EC 1.17.1.4)	Cytoplasm
P94524	araB BSU28790	Ribulokinase (EC 2.7.1.16)	Cytoplasm
P39578	dltD BSU38530 ipa-2r	Protein DltD	Cytoplasm
P05654	pyrB BSU15490	Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	Cytoplasm
O31668	mtnB ykrY BSU13610	Methylthioribulose-1-phosphate dehydratase (MTRu-1-P dehydratase) (EC 4.2.1.109)	Cytoplasm
P10725	alr1 alr dal BSU04640	Alanine racemase 1 (EC 5.1.1.1)	Cytoplasm
P37527	pdxS yaaD BSU00110	Pyridoxal 5'-phosphate synthase subunit PdxS (PLP synthase subunit PdxS) (EC 4.3.3.6) (Pdx1) (Superoxide-inducible protein 7) (SOI7)	Cytoplasm
P94568	leuD BSU28250	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	Cytoplasm
P17618	ribD ribG BSU23280	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]	Cytoplasm
O34557	rpe yloR BSU15790	Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Pentose-5-phosphate 3-epimerase) (PPE) (R5P3E)	Cytoplasm
P07600	trpB BSU22640	Tryptophan synthase beta chain (EC 4.2.1.20)	Cytoplasm
O32090	pncB yueK BSU31750	Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21)	Cytoplasm
P28820	pabB pab BSU00740	Aminodeoxychorismate synthase component 1 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 1)	Cytoplasm
P54304	hemN yqeR BSU25500	Oxygen-independent coproporphyrinogen-III oxidase-like protein YqeR (EC 1.3.99.-)	Cytoplasm
O34667	luxS ytjB BSU30670	S-ribosylhomocysteine lyase (EC 4.4.1.21) (AI-2 synthesis protein) (Autoinducer-2 production protein LuxS)	Cytoplasm
O05510	gmuE ydhR BSU05860	Putative fructokinase (EC 2.7.1.4) (Glucomannan utilization protein E)	Cytoplasm
P07601	trpA BSU22630	Tryptophan synthase alpha chain (EC 4.2.1.20)	Cytoplasm
P53557	bioB BSU30200	Biotin synthase (EC 2.8.1.6)	Cytoplasm
P12046	purC BSU06450	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase) (Vegetative protein 286A) (VEG286A)	Cytoplasm
P12040	purN BSU06510	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)	Cytoplasm
P54374	aroE aroD BSU25660	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Cytoplasm
O34872	ytiB BSU30690	Putative carbonic anhydrase YtiB (EC 4.2.1.1) (Carbonate dehydratase)	Cytoplasm
P18157	glpK BSU09290	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	Cytoplasm
P42068	hutG BSU39380 EE57C	Formimidoylglutamase (EC 3.5.3.8) (Formiminoglutamase) (Formiminoglutamate hydrolase) (N-formimino-L-glutamate formiminohydrolase)	Cytoplasm
P51831	fabG ylpF BSU15910	3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase)	Cytoplasm
P42437	nasF nasBE BSU03280	Uroporphyrinogen-III C-methyltransferase (Urogen III methylase) (EC 2.1.1.107) (SUMT) (Uroporphyrinogen III methylase) (UROM)	Cytoplasm
P94462	defA def yloK BSU15720	Peptide deformylase 1 (PDF 1) (EC 3.5.1.88) (Polypeptide deformylase 1)	Cytoplasm
P42414	iolC yxdC BSU39740 E83C	5-dehydro-2-deoxygluconokinase (EC 2.7.1.92) (2-deoxy-5-keto-D-gluconate kinase) (DKG kinase)	Cytoplasm
P30950	hemB BSU28130	Delta-aminolevulinic acid dehydratase (ALAD) (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	Cytoplasm
P94391	putC ycgN BSU03210	1-pyrroline-5-carboxylate dehydrogenase 2 (P5C dehydrogenase 2) (EC 1.2.1.88) (L-glutamate gamma-semialdehyde dehydrogenase)	Cytoplasm
O34824	glmM ybbT BSU01770	Phosphoglucosamine mutase (EC 5.4.2.10)	Cytoplasm
P36838	carA cpaA BSU11230	Carbamoyl-phosphate synthase arginine-specific small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	Cytoplasm
P54716	glvA glv-1 glvG malA BSU08180	Maltose-6'-phosphate glucosidase (EC 3.2.1.122) (6-phospho-alpha-D-glucosidase) (6-phosphoryl-O-alpha-D-glucopyranosyl:phosphoglucohydrolase)	Cytoplasm
O34411	hisK hisJ BSU29620	Histidinol-phosphatase (HolPase) (EC 3.1.3.15)	Cytoplasm
P35146	aroD aroC BSU23080	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Cytoplasm
O34764	sat ylnB BSU15590	Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT)	Cytoplasm
P37253	ilvC BSU28290	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I)	Cytoplasm
O32137	allB pucH yunH BSU32410	Allantoinase (EC 3.5.2.5) (Allantoin-utilizing enzyme)	Cytoplasm
P42957	mtlD mtlB BSU03990	Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	Cytoplasm
P23129	odhA citK BSU19370	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase)	Cytoplasm
O32214	cysJ yvgR BSU33440	Sulfite reductase [NADPH] flavoprotein alpha-component (SiR-FP) (EC 1.8.1.2)	Cytoplasm
P21881	pdhA aceA BSU14580	Pyruvate dehydrogenase E1 component subunit alpha (EC 1.2.4.1) (S complex, 42 kDa subunit) (Vegetative protein 220) (VEG220)	Cytoplasm
P17620	ribBA ribA BSU23260	Riboflavin biosynthesis protein RibBA [Includes: 3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12); GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)]	Cytoplasm
P31112	hepS gerC1 gerCA hepA BSU22760	Heptaprenyl diphosphate synthase component 1 (HepPP synthase subunit 1) (EC 2.5.1.30) (Spore germination protein C1)	Cytoplasm
O31461	ilvE ybgE BSU02390	Branched-chain-amino-acid transaminase 1 (BCAT 1) (EC 2.6.1.42)	Cytoplasm
P70999	speB ywhG BSU37490	Agmatinase (EC 3.5.3.11) (Agmatine ureohydrolase) (AUH)	Cytoplasm
P23974	menH ytfB ytxM BSU30810	Putative 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (SHCHC synthase) (EC 4.2.99.20)	Cytoplasm
P25995	pyrC BSU15500	Dihydroorotase (DHOase) (EC 3.5.2.3)	Cytoplasm
O32029	yrrT BSU27280	Uncharacterized methyltransferase YrrT (EC 2.1.1.-)	Cytoplasm
P80858	leuC BSU28260	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase) (Superoxide-inducible protein 10) (SOI10)	Cytoplasm
P80859	gndA yqjI BSU23860	6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating (EC 1.1.1.44) (GNTZII)	Cytoplasm
P39633	rocG gudA yweB BSU37790 ipa-75d	Catabolic NAD-specific glutamate dehydrogenase RocG (NAD-GDH) (EC 1.4.1.2) (Glutamate dehydrogenase) (GlutDH) (Trigger enzyme RocG)	Cytoplasm
P53559	bioW BSU30240	6-carboxyhexanoate--CoA ligase (EC 6.2.1.14) (Pimeloyl-CoA synthase)	Cytoplasm
P50621	nrdF BSU17390	Ribonucleoside-diphosphate reductase subunit beta (EC 1.17.4.1) (Ribonucleotide reductase small subunit)	Cytoplasm
P37537	tmk yaaP BSU00280	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	Cytoplasm
P46354	punA deoD pnp yqkO BSU23490	Purine nucleoside phosphorylase 1 (PNP 1) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase) (Purine nucleoside phosphorylase I) (PNP I) (Pu-NPase I)	Cytoplasm
P37940	bfmBAA bfmB1a BSU24050	2-oxoisovalerate dehydrogenase subunit alpha (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain) (BCKDH E1-alpha)	Cytoplasm
P28822	sul BSU00770	Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)	Cytoplasm
O34514	menC ytfD BSU30780	o-succinylbenzoate synthase (OSB synthase) (OSBS) (EC 4.2.1.113) (4-(2'-carboxyphenyl)-4-oxybutyric acid synthase) (o-succinylbenzoic acid synthase)	Cytoplasm
O32147	pucA yurF BSU32510	Probable xanthine dehydrogenase subunit A (XDHase subunit A) (EC 1.17.1.4)	Cytoplasm
Q06756	ispF yacN BSU00910	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)	Cytoplasm
O31663	mtnK ykrT BSU13560	Methylthioribose kinase (MTR kinase) (EC 2.7.1.100)	Cytoplasm
P19582	hom tdm BSU32260	Homoserine dehydrogenase (HDH) (EC 1.1.1.3)	Cytoplasm
P12044	purE BSU06420	N5-carboxyaminoimidazole ribonucleotide mutase (N5-CAIR mutase) (EC 5.4.99.18) (5-(carboxyamino)imidazole ribonucleotide mutase)	Cytoplasm
P26935	iolG idh BSU39700 E83G	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase (EC 1.1.1.18) (EC 1.1.1.369) (Myo-inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase) (MI 2-dehydrogenase/DCI 3-dehydrogenase)	Cytoplasm
O34389	malS BSU29880	Probable NAD-dependent malic enzyme 3 (NAD-ME 3) (EC 1.1.1.38)	Cytoplasm
P45745	dhbF BSU31960	Dimodular nonribosomal peptide synthase	Cytoplasm
P00497	purF BSU06490	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)	Cytoplasm
P39156	ywlF BSU36920 ipc-32d	Putative sugar phosphate isomerase YwlF (EC 5.3.1.-)	Cytoplasm
P54378	gcvT yqhI BSU24570	Aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein)	Cytoplasm
O34664	thiN yloS BSU15800	Thiamine pyrophosphokinase (TPK) (EC 2.7.6.2) (Thiamine diphosphokinase)	Cytoplasm
P94556	racE glr murI BSU28390	Glutamate racemase 1 (EC 5.1.1.3)	Cytoplasm
P42420	iolJ fbaB yxdI BSU39670 B65C	6-phospho-5-dehydro-2-deoxy-D-gluconate aldolase (DKGP aldolase) (EC 4.1.2.29)	Cytoplasm
O31666	mtnW ykrW BSU13590	2,3-diketo-5-methylthiopentyl-1-phosphate enolase (DK-MTP-1-P enolase) (EC 5.3.2.5) (RuBisCO-like protein) (RLP)	Cytoplasm
P39120	citZ citA2 BSU29140	Citrate synthase 2 (EC 2.3.3.16) (Citrate synthase II)	Cytoplasm
O34651	hisD BSU34910	Histidinol dehydrogenase (HDH) (EC 1.1.1.23)	Cytoplasm
Q04797	asd BSU16750	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	Cytoplasm
P42433	nasB nasBA BSU03320	Assimilatory nitrate reductase electron transfer subunit	Cytoplasm
P50618	nrdI ymaA BSU17370	Protein NrdI	Cytoplasm
O32142	pucM yunM BSU32460	5-hydroxyisourate hydrolase (HIU hydrolase) (HIUHase) (EC 3.5.2.17) (Transthyretin-related protein) (TRP)	Cytoplasm
Q45582	murQ ybbI BSU01700	N-acetylmuramic acid 6-phosphate etherase (MurNAc-6-P etherase) (EC 4.2.1.126) (N-acetylmuramic acid 6-phosphate hydrolase) (N-acetylmuramic acid 6-phosphate lyase)	Cytoplasm
O31714	fruK fruB BSU14390	1-phosphofructokinase (EC 2.7.1.56) (Fructose 1-phosphate kinase)	Cytoplasm
P80877	metE metC BSU13180	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme) (Superoxide-inducible protein 9) (SOI9)	Cytoplasm
