ENTRY	CHEBI	NAME	STOICHIOMETRY	UNIPROT ANNOTATION
P29255	[MISSING]	[MISSING]	1	PSI electron transfer chain: 5 chlorophyll a, 1 chlorophyll a', 2 phylloquinones and 3 4Fe-4S clusters. PSI core antenna: 90 chlorophyll a, 22 carotenoids, 3 phospholipids and 1 galactolipid. P700 is a chlorophyll a/chlorophyll a' dimer, A0 is one or more chlorophyll a, A1 is one or both phylloquinones and FX is a shared 4Fe-4S iron-sulfur center. {ECO:0000250};
P73960	CHEBI:18420	Mg(2+)	1	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};
P73960	CHEBI:29035	Mn(2+)	0	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};
P07826	[MISSING]	[MISSING]	1	The D1/D2 heterodimer binds P680, chlorophylls that are the primary electron donor of PSII, and subsequent electron acceptors. It shares a non-heme iron and each subunit binds pheophytin, quinone, additional chlorophylls, carotenoids and lipids. D1 provides most of the ligands for the Mn4-Ca-O5 cluster of the oxygen-evolving complex (OEC). There is also a Cl(-1) ion associated with D1 and D2, which is required for oxygen evolution. The PSII complex binds additional chlorophylls, carotenoids and specific lipids. {ECO:0000255|HAMAP-Rule:MF_01379};
P73493	CHEBI:18420	Mg(2+)	1	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};
P73493	CHEBI:29035	Mn(2+)	0	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};
P05429	[MISSING]	[MISSING]	[MISSING]	Binds multiple chlorophylls. PSII binds additional chlorophylls, carotenoids and specific lipids. {ECO:0000255|HAMAP-Rule:MF_01495};
P09193	[MISSING]	[MISSING]	[MISSING]	Binds multiple chlorophylls and provides some of the ligands for the Ca-4Mn-5O cluster of the oxygen-evolving complex. It may also provide a ligand for a Cl- that is required for oxygen evolution. PSII binds additional chlorophylls, carotenoids and specific lipids. {ECO:0000255|HAMAP-Rule:MF_01496};
Q55756	CHEBI:18420	Mg(2+)	4	Binds 4 Mg(2+) or Mn(2+) ions per subunit. {ECO:0000250};
Q55756	CHEBI:29035	Mn(2+)	0	Binds 4 Mg(2+) or Mn(2+) ions per subunit. {ECO:0000250};
P73997	CHEBI:57540	NAD(+)	1	 Name=NAD(+); Xref=ChEBI:CHEBI:57540; Evidence={ECO:0000255|HAMAP-Rule:MF_00110}; ; 
P73997	CHEBI:48828	Co(2+)	1	Binds 1 divalent metal cation per subunit. Can use either Co(2+) or Zn(2+). {ECO:0000255|HAMAP-Rule:MF_00110};
P73997	CHEBI:29105	Zn(2+)	0	Binds 1 divalent metal cation per subunit. Can use either Co(2+) or Zn(2+). {ECO:0000255|HAMAP-Rule:MF_00110};
P29254	[MISSING]	[MISSING]	1	PSI electron transfer chain: 5 chlorophyll a, 1 chlorophyll a', 2 phylloquinones and 3 4Fe-4S clusters. PSI core antenna: 90 chlorophyll a, 22 carotenoids, 3 phospholipids and 1 galactolipid. P700 is a chlorophyll a/chlorophyll a' dimer, A0 is one or more chlorophyll a, A1 is one or both phylloquinones and FX is a shared 4Fe-4S iron-sulfur center. {ECO:0000255|HAMAP-Rule:MF_00458};
P74232	CHEBI:18420	Mg(2+)	1	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};
P74232	CHEBI:29035	Mn(2+)	0	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};
P29273	CHEBI:57540	NAD(+)	1	 Name=NAD(+); Xref=ChEBI:CHEBI:57540; Evidence={ECO:0000305}; Name=NADP(+); Xref=ChEBI:CHEBI:58349; Evidence={ECO:0000305}; Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000305}; 
P29273	CHEBI:58349	NADP(+)	0	 Name=NAD(+); Xref=ChEBI:CHEBI:57540; Evidence={ECO:0000305}; Name=NADP(+); Xref=ChEBI:CHEBI:58349; Evidence={ECO:0000305}; Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000305}; 
P29273	CHEBI:57692	FAD	0	 Name=NAD(+); Xref=ChEBI:CHEBI:57540; Evidence={ECO:0000305}; Name=NADP(+); Xref=ChEBI:CHEBI:58349; Evidence={ECO:0000305}; Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000305}; 
P80046	CHEBI:18420	Mg(2+)	1	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};
P80046	CHEBI:29035	Mn(2+)	0	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};
P73162	CHEBI:18420	Mg(2+)	1	Mg(2+). Can also accept Mn(2+). {ECO:0000255|HAMAP-Rule:MF_00020};
P73162	CHEBI:29035	Mn(2+)	0	Mg(2+). Can also accept Mn(2+). {ECO:0000255|HAMAP-Rule:MF_00020};
P74045	CHEBI:28938	NH4(+)	1	A monovalent cation. Ammonium or potassium. {ECO:0000255|HAMAP-Rule:MF_01274};
P74045	CHEBI:29103	K(+)	0	A monovalent cation. Ammonium or potassium. {ECO:0000255|HAMAP-Rule:MF_01274};
Q06474	CHEBI:23378	Cu cation	[MISSING]	Binds a copper A center.;
Q55725	CHEBI:18420	Mg(2+)	1	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000255|HAMAP-Rule:MF_01659}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000255|HAMAP-Rule:MF_01659}; ; 
Q55725	CHEBI:29035	Mn(2+)	0	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000255|HAMAP-Rule:MF_01659}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000255|HAMAP-Rule:MF_01659}; ; 
Q55725	CHEBI:58937	thiamine diphosphate	1	Binds 1 thiamine pyrophosphate per subunit. {ECO:0000255|HAMAP-Rule:MF_01659};
P37294	CHEBI:30616	ATP	1	ATP is required for the transferase activity but it does not seem to be hydrolyzed during the reaction. {ECO:0000250};; 
P37294	CHEBI:29035	Mn(2+)	1	 Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; 
P37294	CHEBI:18420	Mg(2+)	0	 Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; 
P74104	CHEBI:18420	Mg(2+)	2	Binds 2 divalent metal cations per subunit. Magnesium or manganese. {ECO:0000250};; 
P74104	CHEBI:29035	Mn(2+)	0	Binds 2 divalent metal cations per subunit. Magnesium or manganese. {ECO:0000250};; 
P74104	CHEBI:29105	Zn(2+)	1	Binds 1 zinc ion per subunit. {ECO:0000250};
P74061	CHEBI:48828	Co(2+)	1	Binds 1 divalent metal cation per subunit. Active with Co(2+), Fe(2+), Mn(2+) and Zn(2+). {ECO:0000250};
P74061	CHEBI:29033	Fe(2+)	0	Binds 1 divalent metal cation per subunit. Active with Co(2+), Fe(2+), Mn(2+) and Zn(2+). {ECO:0000250};
P74061	CHEBI:29035	Mn(2+)	0	Binds 1 divalent metal cation per subunit. Active with Co(2+), Fe(2+), Mn(2+) and Zn(2+). {ECO:0000250};
P74061	CHEBI:29105	Zn(2+)	0	Binds 1 divalent metal cation per subunit. Active with Co(2+), Fe(2+), Mn(2+) and Zn(2+). {ECO:0000250};
P16033	[MISSING]	[MISSING]	1	The D1/D2 heterodimer binds P680, chlorophylls that are the primary electron donor of PSII, and subsequent electron acceptors. It shares a non-heme iron and each subunit binds pheophytin, quinone, additional chlorophylls, carotenoids and lipids. D1 provides most of the ligands for the Mn4-Ca-O5 cluster of the oxygen-evolving complex (OEC). There is also a Cl(-1) ion associated with D1 and D2, which is required for oxygen evolution. The PSII complex binds additional chlorophylls, carotenoids and specific lipids. {ECO:0000255|HAMAP-Rule:MF_01379};
P74306	CHEBI:57540	NAD(+)	1	 Name=NAD(+); Xref=ChEBI:CHEBI:57540; Evidence={ECO:0000305}; Name=NADP(+); Xref=ChEBI:CHEBI:58349; Evidence={ECO:0000305}; Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000305}; 
P74306	CHEBI:58349	NADP(+)	0	 Name=NAD(+); Xref=ChEBI:CHEBI:57540; Evidence={ECO:0000305}; Name=NADP(+); Xref=ChEBI:CHEBI:58349; Evidence={ECO:0000305}; Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000305}; 
P74306	CHEBI:57692	FAD	0	 Name=NAD(+); Xref=ChEBI:CHEBI:57540; Evidence={ECO:0000305}; Name=NADP(+); Xref=ChEBI:CHEBI:58349; Evidence={ECO:0000305}; Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000305}; 
P09192	[MISSING]	[MISSING]	1	The D1/D2 heterodimer binds P680, chlorophylls that are the primary electron donor of PSII, and subsequent electron acceptors. It shares a non-heme iron and each subunit binds pheophytin, quinone, additional chlorophylls, carotenoids and lipids. There is also a Cl(-1) ion associated with D1 and D2, which is required for oxygen evolution. The PSII complex binds additional chlorophylls, carotenoids and specific lipids. {ECO:0000255|HAMAP-Rule:MF_01383};
P73632	CHEBI:18420	Mg(2+)	2	Binds 2 magnesium or manganese ions per subunit. {ECO:0000250};
P73632	CHEBI:29035	Mn(2+)	0	Binds 2 magnesium or manganese ions per subunit. {ECO:0000250};
