ENTRY	CHEBI	NAME	STOICHIOMETRY	UNIPROT ANNOTATION
Q8LPJ5	CHEBI:18420	Mg(2+)	1	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};
Q8LPJ5	CHEBI:29035	Mn(2+)	0	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};
A0A1P8AUM8	CHEBI:18420	Mg(2+)	1	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000256|RuleBase:RU004445};
A0A1P8AUM8	CHEBI:29035	Mn(2+)	0	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000256|RuleBase:RU004445};
Q8L7K9	CHEBI:18420	Mg(2+)	1	Divalent metal cations. Prefers magnesium or manganese. {ECO:0000250};
Q8L7K9	CHEBI:29035	Mn(2+)	0	Divalent metal cations. Prefers magnesium or manganese. {ECO:0000250};
A0A1P8B687	CHEBI:18420	Mg(2+)	1	Binds 1 divalent metal cation per subunit; can use either Mg(2+) or Mn(2+). {ECO:0000256|HAMAP-Rule:MF_03148};
A0A1P8B687	CHEBI:29035	Mn(2+)	0	Binds 1 divalent metal cation per subunit; can use either Mg(2+) or Mn(2+). {ECO:0000256|HAMAP-Rule:MF_03148};
Q9LPR4	CHEBI:18420	Mg(2+)	1	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; 
Q9LPR4	CHEBI:29035	Mn(2+)	0	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; 
Q38893	CHEBI:72953	decylplastoquinone	1	Lipophilic quinones such as decyl-plastoquinone or decyl-ubiquinone. {ECO:0000250};
Q38893	CHEBI:52020	6-decylubiquinone	0	Lipophilic quinones such as decyl-plastoquinone or decyl-ubiquinone. {ECO:0000250};
P0DI77	CHEBI:18420	Mg(2+)	3	Binds 3 Mg(2+) or Mn(2+) ions per subunit. {ECO:0000250};
P0DI77	CHEBI:29035	Mn(2+)	0	Binds 3 Mg(2+) or Mn(2+) ions per subunit. {ECO:0000250};
Q8L840	CHEBI:18420	Mg(2+)	1	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; 
Q8L840	CHEBI:29035	Mn(2+)	0	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; 
