ENTRY	STOICHIOMETRY	GENE NAMES	PROTEIN NAME	UNIPROT NOTE
Q8XSW9	[MISSING]	flgH RSp0348 RS00749	Flagellar L-ring protein (Basal body L-ring protein)	SUBUNIT: The basal body constitutes a major portion of the flagellar organelle and consists of four rings (L,P,S, and M) mounted on a central rod. {ECO:0000250}.
Q8XSW8	[MISSING]	flgI RSp0349 RS00751	Flagellar P-ring protein (Basal body P-ring protein)	SUBUNIT: The basal body constitutes a major portion of the flagellar organelle and consists of four rings (L,P,S, and M) mounted on a central rod. {ECO:0000255|HAMAP-Rule:MF_00416}.
Q8XU77	[MISSING]	atpC1 RSc3316 RS02546	ATP synthase epsilon chain 1 (ATP synthase F1 sector epsilon subunit 1) (F-ATPase epsilon subunit 1)	SUBUNIT: F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.
Q8XUA0	[MISSING]	gcvT RSc3293 RS02522	Aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein)	SUBUNIT: The glycine cleavage system is composed of four proteins: P, T, L and H. {ECO:0000255|HAMAP-Rule:MF_00259}.
Q8Y1X7	[MISSING]	moaC RSc0560 RS04905	Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C)	SUBUNIT: Homohexamer; trimer of dimers. {ECO:0000255|HAMAP-Rule:MF_01224}.
Q8XXQ2	[MISSING]	nuoB RSc2061	NADH-quinone oxidoreductase subunit B (EC 1.6.5.11) (NADH dehydrogenase I subunit B) (NDH-1 subunit B)	SUBUNIT: NDH-1 is composed of 14 different subunits. Subunits NuoB, C, D, E, F, and G constitute the peripheral sector of the complex. {ECO:0000255|HAMAP-Rule:MF_01356}.
Q8Y211	[MISSING]	glyQ RSc0526 RS04942	Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS)	SUBUNIT: Tetramer of two alpha and two beta subunits. {ECO:0000255|HAMAP-Rule:MF_00254}.
Q8XU76	[MISSING]	atpD RSc3317	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	SUBUNIT: F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a(1), b(2) and c(9-12). The alpha and beta chains form an alternating ring which encloses part of the gamma chain. CF(1) is attached to CF(0) by a central stalk formed by the gamma and epsilon chains, while a peripheral stalk is formed by the delta and b chains. {ECO:0000255|HAMAP-Rule:MF_01347}.
Q8XQD4	[MISSING]	speH RSp1293	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase beta chain; S-adenosylmethionine decarboxylase alpha chain]	SUBUNIT: Heterotetramer of two alpha and two beta chains arranged as a dimer of alpha/beta heterodimers. {ECO:0000256|HAMAP-Rule:MF_00464}.
Q8Y1Y2	[MISSING]	sucD RSc0555	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5)	SUBUNIT: Heterotetramer of two alpha and two beta subunits. {ECO:0000256|RuleBase:RU000699}.
Q8Y075	[MISSING]	accA RSc1169 RS04560	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	SUBUNIT: Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD). {ECO:0000255|HAMAP-Rule:MF_00823}.
Q8XXQ3	[MISSING]	nuoC RSc2060	NADH-quinone oxidoreductase subunit C (EC 1.6.5.11) (NADH dehydrogenase I subunit C) (NDH-1 subunit C)	SUBUNIT: NDH-1 is composed of 14 different subunits. Subunits NuoB, C, D, E, F, and G constitute the peripheral sector of the complex. {ECO:0000255|HAMAP-Rule:MF_01357}.
Q8XVU6	[MISSING]	panD RSc2731 RS00123	Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]	SUBUNIT: Heterooctamer of four alpha and four beta subunits. {ECO:0000255|HAMAP-Rule:MF_00446}.
Q8XV89	[MISSING]	tatA RSc2942 RS00147	Sec-independent protein translocase protein TatA	SUBUNIT: The Tat system comprises two distinct complexes: a TatABC complex, containing multiple copies of TatA, TatB and TatC subunits, and a separate TatA complex, containing only TatA subunits. Substrates initially bind to the TatABC complex, which probably triggers association of the separate TatA complex to form the active translocon. {ECO:0000255|HAMAP-Rule:MF_00236}.
Q8XXY2	[MISSING]	trpA RSc1981 RS03555	Tryptophan synthase alpha chain (EC 4.2.1.20)	SUBUNIT: Tetramer of two alpha and two beta chains. {ECO:0000255|HAMAP-Rule:MF_00131}.
Q8Y1Y3	[MISSING]	sucC RSc0554 RS04911	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	SUBUNIT: Heterotetramer of two alpha and two beta subunits. {ECO:0000255|HAMAP-Rule:MF_00558}.
Q8XVA2	[MISSING]	petA RSc2929	Ubiquinol-cytochrome c reductase iron-sulfur subunit (EC 1.10.2.2)	SUBUNIT: The main subunits of complex b-c1 are: cytochrome b, cytochrome c1 and the Rieske protein. {ECO:0000256|RuleBase:RU004497}.
Q8XVA3	[MISSING]	petB RSc2928	Cytochrome b	SUBUNIT: The main subunits of complex b-c1 are: cytochrome b, cytochrome c1 and the Rieske protein. {ECO:0000256|RuleBase:RU003385}.
Q8XZ72	[MISSING]	pstB RSc1532 RS03772	Phosphate import ATP-binding protein PstB (EC 3.6.3.27) (ABC phosphate transporter) (Phosphate-transporting ATPase)	SUBUNIT: The complex is composed of two ATP-binding proteins (PstB), two transmembrane proteins (PstC and PstA) and a solute-binding protein (PstS). {ECO:0000255|HAMAP-Rule:MF_01702}.
Q8XWC8	[MISSING]	plsY RSc2546 RS00725	Glycerol-3-phosphate acyltransferase (Acyl-PO4 G3P acyltransferase) (Acyl-phosphate--glycerol-3-phosphate acyltransferase) (G3P acyltransferase) (GPAT) (EC 2.3.1.n3) (Lysophosphatidic acid synthase) (LPA synthase)	SUBUNIT: Probably interacts with PlsX. {ECO:0000255|HAMAP-Rule:MF_01043}.
Q8XPK6	[MISSING]	xylG RSp1634	Xylose import ATP-binding protein XylG (EC 3.6.3.17)	SUBUNIT: The complex is composed of two ATP-binding proteins (XylG), two transmembrane proteins (XylH) and a solute-binding protein (XylF). {ECO:0000255|HAMAP-Rule:MF_01722}.
Q8Y0X3	[MISSING]	metN RSc0920	Methionine import ATP-binding protein MetN (EC 3.6.3.-)	SUBUNIT: The complex is composed of two ATP-binding proteins (MetN), two transmembrane proteins (MetI) and a solute-binding protein (MetQ). {ECO:0000255|HAMAP-Rule:MF_01719}.
Q8XXS8	[MISSING]	ureA RSc2035 RS03029	Urease subunit gamma (EC 3.5.1.5) (Urea amidohydrolase subunit gamma)	SUBUNIT: Heterotrimer of UreA (gamma), UreB (beta) and UreC (alpha) subunits. Three heterotrimers associate to form the active enzyme. {ECO:0000255|HAMAP-Rule:MF_00739}.
Q8Y3C6	[MISSING]	gatB RSc0054 RS01877	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B) (EC 6.3.5.-)	SUBUNIT: Heterotrimer of A, B and C subunits. {ECO:0000255|HAMAP-Rule:MF_00121}.
Q8XXQ8	[MISSING]	nuoH RSc2055	NADH-quinone oxidoreductase subunit H (EC 1.6.5.11) (NADH dehydrogenase I subunit H) (NDH-1 subunit H)	SUBUNIT: NDH-1 is composed of 14 different subunits. Subunits NuoA, H, J, K, L, M, N constitute the membrane sector of the complex. {ECO:0000255|HAMAP-Rule:MF_01350}.
Q8XXQ9	[MISSING]	nuoI RSc2054	NADH-quinone oxidoreductase subunit I (EC 1.6.5.11) (NADH dehydrogenase I subunit I) (NDH-1 subunit I)	SUBUNIT: NDH-1 is composed of 14 different subunits. Subunits NuoA, H, J, K, L, M, N constitute the membrane sector of the complex. {ECO:0000255|HAMAP-Rule:MF_01351}.
Q8Y1B4	[MISSING]	katG RSc0776/RSc0775	Catalase-peroxidase (CP) (EC 1.11.1.21) (Peroxidase/catalase)	SUBUNIT: Homodimer or homotetramer. {ECO:0000255|HAMAP-Rule:MF_01961}.
Q8XXQ4	[MISSING]	nuoD RSc2059	NADH-quinone oxidoreductase subunit D (EC 1.6.5.11) (NADH dehydrogenase I subunit D) (NDH-1 subunit D)	SUBUNIT: NDH-1 is composed of 14 different subunits. Subunits NuoB, C, D, E, F, and G constitute the peripheral sector of the complex. {ECO:0000256|HAMAP-Rule:MF_01358}.
Q8Y099	[MISSING]	dapA RSc1145 RS04756	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)	SUBUNIT: Homotetramer; dimer of dimers. {ECO:0000255|HAMAP-Rule:MF_00418}.
Q8XZ85	[MISSING]	carA RSc1519 RS03785	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	SUBUNIT: Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate. {ECO:0000255|HAMAP-Rule:MF_01209}.
Q8XXQ1	[MISSING]	nuoA RSc2062	NADH-quinone oxidoreductase subunit A (EC 1.6.5.11) (NADH dehydrogenase I subunit A) (NDH-1 subunit A) (NUO1)	SUBUNIT: NDH-1 is composed of 14 different subunits. Subunits NuoA, H, J, K, L, M, N constitute the membrane sector of the complex. {ECO:0000255|HAMAP-Rule:MF_01394}.
Q8Y213	[MISSING]	glyS RSc0524 RS04944	Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS)	SUBUNIT: Tetramer of two alpha and two beta subunits. {ECO:0000255|HAMAP-Rule:MF_00255}.
Q8XWY3	[MISSING]	serS RSc2337 RS01162	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	SUBUNIT: Homodimer. The tRNA molecule binds across the dimer. {ECO:0000255|HAMAP-Rule:MF_00176}.
Q8XW45	[MISSING]	panB RSc2630 RS00934	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	SUBUNIT: Homodecamer; pentamer of dimers. {ECO:0000255|HAMAP-Rule:MF_00156}.
Q8XQC5	[MISSING]	speE2 speE1 RSp1337 RS04762	Polyamine aminopropyltransferase 2 (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16)	SUBUNIT: Homodimer or homotetramer. {ECO:0000255|HAMAP-Rule:MF_00198}.
Q8Y347	[MISSING]	metK RSc0134 RS01004	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	SUBUNIT: Homotetramer; dimer of dimers. {ECO:0000255|HAMAP-Rule:MF_00086}.
Q8XXY0	[MISSING]	trpB RSc1983 RS03412	Tryptophan synthase beta chain (EC 4.2.1.20)	SUBUNIT: Tetramer of two alpha and two beta chains. {ECO:0000255|HAMAP-Rule:MF_00133}.
Q8XZ83	[MISSING]	carB RSc1521 RS03783	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	SUBUNIT: Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate. {ECO:0000255|HAMAP-Rule:MF_01210}.
Q8XZQ4	[MISSING]	ssuB RSc1341	Aliphatic sulfonates import ATP-binding protein SsuB (EC 3.6.3.-)	SUBUNIT: The complex is composed of two ATP-binding proteins (SsuB), two transmembrane proteins (SsuC) and a solute-binding protein (SsuA). {ECO:0000255|HAMAP-Rule:MF_01724}.
Q8XU70	[MISSING]	atpB RSc3323	ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)	SUBUNIT: F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a(1), b(2) and c(9-12). The alpha and beta chains form an alternating ring which encloses part of the gamma chain. CF(1) is attached to CF(0) by a central stalk formed by the gamma and epsilon chains, while a peripheral stalk is formed by the delta and b chains. {ECO:0000256|HAMAP-Rule:MF_01393}.
Q8XZX8	[MISSING]	ugpC RSc1267	sn-glycerol-3-phosphate import ATP-binding protein UgpC (EC 3.6.3.20)	SUBUNIT: The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB). {ECO:0000255|HAMAP-Rule:MF_01727}.
Q8XZW6	[MISSING]	RSc1279	Cbb3-type cytochrome c oxidase subunit	SUBUNIT: Component of the cbb3-type cytochrome c oxidase. {ECO:0000256|PIRNR:PIRNR000006}.
Q8Y0H8	[MISSING]	pdxJ RSc1066 RS04138	Pyridoxine 5'-phosphate synthase (PNP synthase) (EC 2.6.99.2)	SUBUNIT: Homooctamer; tetramer of dimers. {ECO:0000255|HAMAP-Rule:MF_00279}.
Q8XXY3	[MISSING]	accD RSc1980	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 6.4.1.2)	SUBUNIT: Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD). {ECO:0000256|HAMAP-Rule:MF_01395, ECO:0000256|SAAS:SAAS00661517}.
