ENTRY	GENE NAME	NAME	LOCATION
P54575	ribC BSU16670	Riboflavin biosynthesis protein RibC [Includes: Riboflavin kinase (EC 2.7.1.26) (Flavokinase); FMN adenylyltransferase (EC 2.7.7.2) (FAD pyrophosphorylase) (FAD synthase)]	[MISSING]
P54572	yqkJ BSU23550	Probable NAD-dependent malic enzyme 1 (NAD-ME 1) (EC 1.1.1.38)	[MISSING]
O31669	mtnD ykrZ BSU13620	Acireductone dioxygenase (1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase) (DHK-MTPene dioxygenase) (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD') (Fe-ARD) (EC 1.13.11.54) (Acireductone dioxygenase (Ni(2+)-requiring)) (ARD) (Ni-ARD) (EC 1.13.11.53)	[MISSING]
O31668	mtnB ykrY BSU13610	Methylthioribulose-1-phosphate dehydratase (MTRu-1-P dehydratase) (EC 4.2.1.109)	[MISSING]
O31667	mtnX ykrX BSU13600	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase (HK-MTPenyl-1-P phosphatase) (EC 3.1.3.87)	[MISSING]
O34399	gltB BSU18440	Glutamate synthase [NADPH] small chain (EC 1.4.1.13) (NADPH-GOGAT)	[MISSING]
O31665	mtnE mtnV ykrV BSU13580	Transaminase MtnE (EC 2.6.1.-)	[MISSING]
P42977	cca papS ypjI BSU22450	CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl- transferase) (tRNA nucleotidyltransferase) (tRNA-NT)	[MISSING]
O31663	mtnK ykrT BSU13560	Methylthioribose kinase (MTR kinase) (EC 2.7.1.100)	[MISSING]
O31662	mtnA ykrS BSU13550	Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (S-methyl-5-thioribose-1-phosphate isomerase)	[MISSING]
P70999	speB ywhG BSU37490	Agmatinase (EC 3.5.3.11) (Agmatine ureohydrolase) (AUH)	[MISSING]
P07600	trpB BSU22640	Tryptophan synthase beta chain (EC 4.2.1.20)	[MISSING]
P46354	punA deoD pnp yqkO BSU23490	Purine nucleoside phosphorylase 1 (PNP 1) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase) (Purine nucleoside phosphorylase I) (PNP I) (Pu-NPase I)	[MISSING]
O32090	pncB yueK BSU31750	Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21)	[MISSING]
P71079	fabL yfhR ygaA BSU08650	Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL (ENR) (EC 1.3.1.104) (Enoyl-acyl carrier protein reductase III) (NADPH-dependent enoyl-ACP reductase)	[MISSING]
Q04789	alsS BSU36010	Acetolactate synthase (EC 2.2.1.6) (ALS) (Acetohydroxy-acid synthase)	[MISSING]
P31112	hepS gerC1 gerCA hepA BSU22760	Heptaprenyl diphosphate synthase component 1 (HepPP synthase subunit 1) (EC 2.5.1.30) (Spore germination protein C1)	[MISSING]
P31113	menG gerC2 gerCB menH BSU22750	Demethylmenaquinone methyltransferase (EC 2.1.1.163)	[MISSING]
P31114	hepT gerC3 gerCC hepB BSU22740	Heptaprenyl diphosphate synthase component 2 (HepPP synthase subunit 2) (EC 2.5.1.30) (Spore germination protein C3)	[MISSING]
P54473	ispH yqfP BSU25160	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.7.4)	[MISSING]
P54374	aroE aroD BSU25660	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	[MISSING]
P10725	alr1 alr dal BSU04640	Alanine racemase 1 (EC 5.1.1.1)	[MISSING]
O31502	dagK dgkB yerQ BSU06720	Diacylglycerol kinase (DAG kinase) (DAGK) (EC 2.7.1.107)	[MISSING]
O34557	rpe yloR BSU15790	Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Pentose-5-phosphate 3-epimerase) (PPE) (R5P3E)	[MISSING]
P37537	tmk yaaP BSU00280	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	[MISSING]
P37530	dgk yaaG BSU00150	Deoxyguanosine kinase (DGUO kinase) (dGK) (EC 2.7.1.113)	[MISSING]
