ENTRY	STOICHIOMETRY	GENE NAMES	PROTEIN NAME	UNIPROT NOTE
O04904	1	PYR4 At4g22930 F7H19.110	Dihydroorotase, mitochondrial (DHOase) (EC 3.5.2.3)	[MISSING]
Q84WB8	1	At1g63660	Putative GMP synthase	[MISSING]
C0Z2E7	1	At3g54470	AT3G54470 protein	[MISSING]
Q9LIR4	1	DHAD ILVD At3g23940 F14O13.13	Dihydroxy-acid dehydratase, chloroplastic (AtDHAD) (DAD) (EC 4.2.1.9)	[MISSING]
C0Z3C3	1	At1g75330	AT1G75330 protein	[MISSING]
Q8LPJ5	1	At5g14590 T15N1.80	Isocitrate dehydrogenase [NADP], chloroplastic/mitochondrial (EC 1.1.1.42)	[MISSING]
Q9C5U8	1	HISN8 HDH At5g63890 MGI19.9	Histidinol dehydrogenase, chloroplastic (HDH) (EC 1.1.1.23) (Protein HISTIDINE BIOSYNTHESIS 8)	[MISSING]
F4I032	1	EMB1144 embryo defective 1144 At1g48850 T24P22.3 T24P22_3	Chorismate synthase (EC 4.2.3.5)	[MISSING]
Q6NPM8	1	HISN7 IMPL2 At4g39120 T22F8.20	Bifunctional phosphatase IMPL2, chloroplastic (Histidinol-phosphatase) (Histidinol-phosphate phosphatase) (HPP) (EC 3.1.3.15) (Inositol-phosphate phosphatase) (EC 3.1.3.25) (L-galactose 1-phosphate phosphatase) (EC 3.1.3.93) (Protein HISTIDINE BIOSYNTHESIS 7) (Protein MYO-INOSITOL MONOPHOSPHATASE-LIKE 2)	[MISSING]
P52420	1	PUR2 At1g09830 F21M12.22	Phosphoribosylamine--glycine ligase, chloroplastic (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GARS) (Phosphoribosylglycinamide synthetase)	[MISSING]
A8MRW9	1	HXK2 ATHXK2 HEXOKINASE 2 hexokinase 2 At2g19860 F6F22.11 F6F22_11	Phosphotransferase (EC 2.7.1.-)	[MISSING]
A0A1P8AMY1	1	PSP 3-PHOSPHOSERINE PHOSPHATASE 3-phosphoserine phosphatase phosphoserine phosphatase 1 PSP1 At1g18640	3-phosphoserine phosphatase	[MISSING]
Q05728	1	PUR5 At3g55010 F28P10.10 T15C9.10	Phosphoribosylformylglycinamidine cyclo-ligase, chloroplastic (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)	[MISSING]
B9DHU6	1	At4g26900	AT4G26900 protein (Fragment)	[MISSING]
Q56WU3	1	At3g58610	Ketol-acid reductoisomerase	[MISSING]
Q9SJM7	1	URH1 At2g36310 F2H17.8	Uridine nucleosidase 1 (EC 3.2.2.3) (Uridine ribohydrolase 1)	[MISSING]
Q8LAD0	1	PDX2 EMB2407 At5g60540 muf9.190	Probable pyridoxal 5'-phosphate synthase subunit PDX2 (AtPDX2) (EC 4.3.3.6) (Protein EMBRYO DEFECTIVE 2407) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)	SUBUNIT: Interacts with PDX1.1 or PDX1.3, but not with PDX1.2. Binds to RPA2A. {ECO:0000269|PubMed:16766694, ECO:0000269|PubMed:20706207}.
